x[m];y[m];z[m];N_ip[MN];V_ip[MN];V_op[MN]
0.5;7.0;0.92700050739;-0.000584882710162;-9.29405207309e-16;2.10451065327e-05
1.5;7.0;0.926999955989;-0.000344333693164;1.10697041811e-16;2.10446050027e-05
2.5;7.0;0.926999205656;-0.000653372479947;3.55076211489e-16;2.4868592756e-05
3.5;7.0;0.927000002831;0.000408639977796;1.07552855511e-16;2.67686219013e-05
4.5;7.0;0.926999205656;-0.00058464158323;1.60136660876e-16;2.48685927564e-05
5.5;7.0;0.926999955989;-0.000478390287716;-5.93600689436e-17;2.10446050075e-05
6.5;7.0;0.92700050739;-0.000440423693491;-4.64309580367e-17;2.10451065317e-05
7.5;7.0;0.92700050739;-0.00044042369378;-3.20408847024e-16;2.10451065313e-05
8.5;7.0;0.926999955989;-0.000478390287388;1.50975152519e-16;2.10446050077e-05
9.5;7.0;0.926999205656;-0.000584641583096;-7.06899816461e-17;2.48685927575e-05
11.5;7.0;0.926999205656;-0.000653372479994;-2.30392961653e-16;2.48685927555e-05
12.5;7.0;0.926999955989;-0.000344333693321;3.50902033125e-16;2.10446050036e-05
13.5;7.0;0.92700050739;-0.00058488271011;6.4938289121e-16;2.10451065332e-05
7.0;0.5;0.927000505214;-0.000584725246342;7.44873997552e-16;2.10451055616e-05
7.0;1.5;0.926999954865;-0.000344418757163;2.21339873513e-16;2.10446043586e-05
7.0;2.5;0.926999199743;-0.000653456648904;1.82904906498e-16;2.48685870394e-05
7.0;3.5;0.927;0.000408608324559;-2.68231617473e-16;2.67685290671e-05
7.0;4.5;0.926999199743;-0.000584693959969;1.20238020929e-16;2.48685870608e-05
7.0;5.5;0.926999954865;-0.000478428712551;-9.51387406356e-17;2.10446043471e-05
7.0;6.5;0.927000505214;-0.000440306279196;-2.78152067351e-16;2.10451055987e-05
