X[m];Y[m];Z[m];u-x[m];u-y[m];u-z[m];du-y[m];du-z[m]
0.0;7.0;0.926999999996;0.00228208368865;-5.15821743586e-05;0.00329300863221;0.0;0.0
0.125;7.0;0.9270065247;0.00228055120259;-4.62624927553e-05;0.00310766707117;0.0;0.0
0.25;7.0;0.926997467659;0.00227980885917;-3.43756014559e-05;0.00292462121881;0.0;0.0
0.375;7.0;0.927000142785;0.00227965674895;-2.27134234391e-05;0.00273658353857;0.0;0.0
0.5;7.0;0.92700050739;0.00227699618182;0.0;0.00255781685805;0.0;0.0
0.625;7.0;0.926999804227;0.00227425975728;-9.64955029537e-06;0.00240845491473;0.0;0.0
0.75;7.0;0.927000018793;0.00227352735663;-9.45411949323e-06;0.00227009440893;0.0;0.0
0.875;7.0;0.927000035502;0.00227231488976;-9.38235280301e-06;0.00213052130158;0.0;0.0
1.0;7.0;0.926999929804;0.00227076646278;-5.23644649551e-06;0.00199544449731;0.0;0.0
1.125;7.0;0.926999985661;0.00226953123251;-4.54069294989e-06;0.00186428993226;0.0;0.0
1.25;7.0;0.926999969276;0.00226813803842;-2.43227801259e-06;0.00173689648753;0.0;0.0
1.375;7.0;0.926999872704;0.0022666563594;-1.49313325123e-06;0.00161278911092;0.0;0.0
1.5;7.0;0.926999955989;0.00226495423946;0.0;0.00149215796641;0.0;0.0
1.625;7.0;0.92699995127;0.0022632249393;7.09330701056e-08;0.00137512882203;0.0;0.0
1.75;7.0;0.926999792988;0.00226145650788;3.12251363649e-07;0.00126093669195;0.0;0.0
1.875;7.0;0.926999913132;0.00225964864918;2.1423849742e-07;0.00114884431903;0.0;0.0
2.0;7.0;0.926999955831;0.00225777669259;1.50254112774e-07;0.00103848862185;0.0;0.0
2.125;7.0;0.926999674726;0.00225589736477;-2.13186783889e-08;0.000929325335393;0.0;0.0
2.25;7.0;0.926999892139;0.00225395948798;-1.83703710156e-07;0.000820942488659;0.0;0.0
2.375;7.0;0.927000021252;0.00225201055031;-5.3696273133e-08;0.000712814446041;0.0;0.0
2.5;7.0;0.926999205656;0.0022499396632;0.0;0.00060482539669;0.0;0.0
2.67045048712;7.0;0.927000845709;0.00224701535189;5.85524628334e-07;0.000457474754278;0.0;0.0
2.84090097423;7.0;0.926995530172;0.00224381230908;9.48984976457e-07;0.000309897101644;0.0;0.0
3.01135146135;7.0;0.927011022567;0.00224031352126;2.49494726256e-06;0.000162257537575;0.0;0.0
3.18180194847;7.0;0.926967743115;0.00223620283393;2.75766367628e-06;1.58775430542e-05;0.0;0.0
3.34090097423;7.0;0.927053799456;0.00223162007213;2.46742886504e-06;-0.000116444028644;0.0;0.0
3.5;7.0;0.927000002831;0.00222730467008;0.0;-0.00024723780135;0.0;0.0
3.65909902577;7.0;0.927053799456;0.00222248150262;6.30909556193e-06;-0.000381132929483;0.0;0.0
3.81819805153;7.0;0.926967743115;0.00221642928426;9.33614369772e-06;-0.000510459142818;0.0;0.0
3.98864853865;7.0;0.927011022567;0.00221041206902;1.26259177955e-05;-0.000638092725332;0.0;0.0
4.15909902577;7.0;0.926995530172;0.00220455765022;1.09418213786e-05;-0.000757235367782;0.0;0.0
4.32954951288;7.0;0.927000845709;0.00219860875323;7.9273214999e-06;-0.000863323497006;0.0;0.0
4.5;7.0;0.926999205656;0.00219572873364;0.0;-0.00097174029182;0.0;0.0
4.625;7.0;0.927000021252;0.00219366967783;1.37535021114e-05;-0.00106742792401;0.0;0.0
4.75;7.0;0.926999892139;0.00218896397956;2.22484955924e-05;-0.00116338471435;0.0;0.0
4.875;7.0;0.926999674726;0.00218389615391;2.88632499978e-05;-0.00124688208095;0.0;0.0
5.0;7.0;0.926999955831;0.00217841676933;2.96231092874e-05;-0.00131865969824;0.0;0.0
5.125;7.0;0.926999913132;0.00217286151633;3.24308288851e-05;-0.00137600927899;0.0;0.0
5.25;7.0;0.926999792988;0.00216706789067;2.78616921737e-05;-0.00141861502588;0.0;0.0
5.375;7.0;0.92699995127;0.00216091915015;1.93544910707e-05;-0.00143875008217;0.0;0.0
5.5;7.0;0.926999955989;0.00215841670562;0.0;-0.0014536470399;0.0;0.0
5.625;7.0;0.926999872704;0.00215573531765;1.73136322049e-05;-0.00148751132963;0.0;0.0
5.75;7.0;0.926999969276;0.00214911829517;2.37042824261e-05;-0.00151148157194;0.0;0.0
5.875;7.0;0.926999985661;0.00214230728582;2.35421176996e-05;-0.001504361881;0.0;0.0
6.0;7.0;0.926999929804;0.00213553986625;1.85823389028e-05;-0.00147015337819;0.0;0.0
6.125;7.0;0.927000035502;0.00212748046721;8.18524847819e-06;-0.00140620669915;0.0;0.0
6.25;7.0;0.927000018793;0.00212004751189;1.09839770521e-06;-0.00131133077238;0.0;0.0
6.375;7.0;0.926999804227;0.00211367835989;-7.20779459771e-06;-0.00119598385583;0.0;0.0
6.5;7.0;0.92700050739;0.00210434236276;0.0;-0.00104032018076;0.0;0.0
6.625;7.0;0.927000142785;0.00209583956656;-5.14049606811e-05;-0.000813879002224;0.0;0.0
6.75;7.0;0.926997467659;0.00209287681205;-8.38853247071e-05;-0.000556142003756;0.0;0.0
6.875;7.0;0.9270065247;0.0020900244619;-0.000117255313494;-0.000297481350246;0.0;0.0
7.0;7.0;0.926999999996;0.00205464304099;0.000103789176822;0.000375517659055;0.0;0.0
7.125;7.0;0.9270065247;0.0020559149159;8.48868558039e-05;0.000573191954914;0.0;0.0
7.25;7.0;0.926997467659;0.00205770506689;5.98471017905e-05;0.000764981246152;0.0;0.0
7.375;7.0;0.927000142785;0.00206012220543;3.52385385174e-05;0.000952882648524;0.0;0.0
7.5;7.0;0.92700050739;0.0020660763785;0.0;0.00111849619599;0.0;0.0
7.625;7.0;0.926999804227;0.00207255723076;-3.2130648245e-07;0.00123659923423;0.0;0.0
7.75;7.0;0.927000018793;0.00207740046874;-8.78768162067e-06;0.00132405844593;0.0;0.0
7.875;7.0;0.927000035502;0.00208306303485;-1.61407125475e-05;0.00139162140567;0.0;0.0
8.0;7.0;0.926999929804;0.00208915846418;-2.36248344068e-05;0.00143268297296;0.0;0.0
8.125;7.0;0.926999985661;0.00209420051304;-2.82504755545e-05;0.00144770838178;0.0;0.0
8.25;7.0;0.926999969276;0.00209925277373;-2.67061950193e-05;0.00143900903332;0.0;0.0
8.375;7.0;0.926999872704;0.00210413211555;-1.92768990298e-05;0.00140173457946;0.0;0.0
8.5;7.0;0.926999955989;0.0021048268101;0.0;0.0013579013383;0.0;0.0
8.625;7.0;0.92699995127;0.00210539273302;-2.00696599741e-05;0.00133748371305;0.0;0.0
8.75;7.0;0.926999792988;0.00210980147329;-2.86802290703e-05;0.00131451944662;0.0;0.0
8.875;7.0;0.926999913132;0.0021138677005;-3.34935938432e-05;0.00127039131317;0.0;0.0
9.0;7.0;0.926999955831;0.00211769158315;-3.05680514955e-05;0.00121278994224;0.0;0.0
9.125;7.0;0.926999674726;0.00212146709519;-2.99365255877e-05;0.00114162851664;0.0;0.0
9.25;7.0;0.926999892139;0.00212481200645;-2.31484064063e-05;0.00105936036064;0.0;0.0
9.375;7.0;0.927000021252;0.00212778347728;-1.43542921061e-05;0.000964898264866;0.0;0.0
9.5;7.0;0.926999205656;0.00212796459413;0.0;0.000871291604872;0.0;0.0
9.67045048712;7.0;0.927000845709;0.00212822150292;-8.00841601367e-06;0.000767336007756;0.0;0.0
9.84090097423;7.0;0.926995530172;0.00213152719393;-1.07814025887e-05;0.000666676490043;0.0;0.0
10.0113514613;7.0;0.927011022567;0.00213453062001;-1.18852808197e-05;0.000553644077549;0.0;0.0
10.1818019485;7.0;0.926967743115;0.00213739720544;-8.15895395377e-06;0.000433994176349;0.0;0.0
10.3409009742;7.0;0.927053799456;0.00214012646884;-5.37669596576e-06;0.000315415648717;0.0;0.0
10.5;7.0;0.927000002831;0.00214162719266;0.0;0.000195469118012;0.0;0.0
10.6590990258;7.0;0.927053799456;0.00214266138151;-2.06548553287e-06;8.08904614004e-05;0.0;0.0
10.8181980515;7.0;0.926967743115;0.00214403083285;-2.49034503558e-06;-3.24449052774e-05;0.0;0.0
10.9886485387;7.0;0.927011022567;0.00214513266327;-2.84926328101e-06;-0.000155775053254;0.0;0.0
11.1590990258;7.0;0.926995530172;0.00214593203083;-1.76548008171e-06;-0.000279350120661;0.0;0.0
11.3295495129;7.0;0.927000845709;0.00214663739002;-1.26016148863e-06;-0.000403071117226;0.0;0.0
