X[m];Y[m];Z[m];u-x[m];u-y[m];u-z[m];du-y[m];du-z[m]
0.0;7.0;0.926999999996;-0.000292331933171;9.8280527607e-06;-0.00298059373929;0.0;0.0
0.125;7.0;0.9270065247;-0.00029223336586;7.40641341915e-06;-0.0028004896605;0.0;0.0
0.25;7.0;0.926997467659;-0.000291897958896;4.84505856325e-06;-0.00262125636447;0.0;0.0
0.375;7.0;0.927000142785;-0.000291136586926;2.43832928605e-06;-0.00244364381013;0.0;0.0
0.5;7.0;0.92700050739;-0.000289713486838;0.0;-0.00226970556463;0.0;0.0
0.625;7.0;0.926999804227;-0.000287581404412;-1.48052907373e-06;-0.0021014838049;0.0;0.0
0.75;7.0;0.927000018793;-0.000284778799198;-2.82224748688e-06;-0.00194013044544;0.0;0.0
0.875;7.0;0.927000035502;-0.000281248213985;-3.90876542052e-06;-0.00178680442696;0.0;0.0
1.0;7.0;0.926999929804;-0.000277054474199;-4.48343904612e-06;-0.00164269468975;0.0;0.0
1.125;7.0;0.926999985661;-0.000272335284076;-4.89007686493e-06;-0.00150867977804;0.0;0.0
1.25;7.0;0.926999969276;-0.000267092760539;-4.29243231864e-06;-0.00138499734326;0.0;0.0
1.375;7.0;0.926999872704;-0.000261404582397;-2.92235416548e-06;-0.0012726161159;0.0;0.0
1.5;7.0;0.926999955989;-0.000255830883714;0.0;-0.00116892341764;0.0;0.0
1.625;7.0;0.92699995127;-0.000249946685387;-1.56923960618e-06;-0.00107027887985;0.0;0.0
1.75;7.0;0.926999792988;-0.000243378884991;-1.80791486637e-06;-0.000979239367739;0.0;0.0
1.875;7.0;0.926999913132;-0.000236668422553;-1.57515621559e-06;-0.000897429206733;0.0;0.0
2.0;7.0;0.926999955831;-0.000229852554996;-7.33132908087e-07;-0.000823236499336;0.0;0.0
2.125;7.0;0.926999674726;-0.000222876216143;-1.3264189334e-07;-0.000755903972496;0.0;0.0
2.25;7.0;0.926999892139;-0.000215866172997;4.03036019846e-07;-0.000694578885275;0.0;0.0
2.375;7.0;0.927000021252;-0.000208865782609;4.32584322294e-07;-0.000638030999871;0.0;0.0
2.5;7.0;0.926999205656;-0.000201617965634;0.0;-0.00058654025553;0.0;0.0
2.67045048712;7.0;0.927000845709;-0.0001917636021;1.42172647222e-06;-0.00052499736788;0.0;0.0
2.84090097423;7.0;0.926995530172;-0.000182132555764;1.83905607044e-06;-0.000469666263916;0.0;0.0
3.01135146135;7.0;0.927011022567;-0.000172221696362;7.68556106417e-07;-0.000418136826181;0.0;0.0
3.18180194847;7.0;0.926967743115;-0.000161720163401;-5.98932471593e-07;-0.00037241431449;0.0;0.0
