x[m];y[m];z[m];N_ip[MN];V_ip[MN];V_op[MN]
0.5;7.0;0.92700050739;0.00760761040082;9.98008099773e-15;-9.270833335e-06
1.5;7.0;0.926999955989;0.000126812943495;-1.33088527178e-15;-9.27083332987e-06
2.5;7.0;0.926999205656;4.2231620329e-05;-3.06016063184e-15;-1.09562888929e-05
3.5;7.0;0.927000002831;-0.00121570716507;1.02240264865e-16;-5.03813581489e-06
4.5;7.0;0.926999205656;-0.00373015028095;1.35286747083e-15;1.60035680349e-06
5.5;7.0;0.926999955989;-0.00824294283608;-7.57705530263e-15;1.35416666374e-06
6.5;7.0;0.92700050739;0.0135634559411;-5.36100027218e-15;1.35416667149e-06
7.5;7.0;0.92700050739;-0.00816137501968;4.44544574763e-15;-7.49999999999e-06
8.5;7.0;0.926999955989;0.00868770630471;-4.22622006835e-16;-7.49999999996e-06
9.5;7.0;0.926999205656;0.00389126209091;-5.33449152906e-15;-8.86351461134e-06
11.5;7.0;0.926999205656;0.000204029518751;-4.1325721057e-15;1.60035680253e-06
12.5;7.0;0.926999955989;0.000138313986698;-5.92443981243e-15;1.35416666548e-06
13.5;7.0;0.92700050739;-0.00115962741596;-3.0010783897e-15;1.35416665993e-06
7.0;0.5;0.927000505214;-0.00261813191963;-4.21320964228e-16;0.00198047685672
7.0;1.5;0.926999954865;0.000775939576239;2.76037873115e-16;0.00150957186394
7.0;2.5;0.926999199743;0.000615711796828;6.93889390391e-18;0.00130763136281
7.0;3.5;0.927;0.000140340732016;-1.10588621594e-16;0.00113613057578
7.0;4.5;0.926999199743;0.000237589901263;2.02962646689e-16;0.00174384113927
7.0;5.5;0.926999954865;0.00015704482976;8.84708972748e-17;0.00190928579398
7.0;6.5;0.927000505214;-0.00216609512696;-5.20633883228e-16;0.00170067229558
