-;U_x;U_y;U_z
G;0.000419928966136;1.21879275542e-05;-0.000343361308441
S_sym;0.000134470199923;1.39236745321e-06;-0.000261113176655
S_asym;0.000699021755098;4.31988322958e-05;0.000686691665467
W_asym;0.00232995186536;0.000305364776099;0.00423721061168
W_pos;0.00180401547493;4.86464900624e-05;0.00410217507304
W_neg;0.00163964390552;0.000185651433922;0.00306036646932
T_shrinkage;0.00906252599292;0.00906278244569;0.00596190364626
komb_out;0.0102923781158;0.00883974971155;0.00458423142966
komb_int;0.0102923781158;0.00874027159237;0.00458423142966
