Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
106;Standard;0;Kartesisch;-2.750;1.000;0.000;
107;Standard;0;Kartesisch;-2.750;1.250;0.000;
108;Standard;0;Kartesisch;-2.750;1.500;0.000;
109;Standard;0;Kartesisch;-2.750;1.750;0.000;
110;Standard;0;Kartesisch;-2.750;2.000;0.000;
111;Standard;0;Kartesisch;-2.750;2.250;0.000;
112;Standard;0;Kartesisch;-2.750;2.500;0.000;
113;Standard;0;Kartesisch;-2.750;2.750;0.000;
114;Standard;0;Kartesisch;-2.750;3.000;0.000;
115;Standard;0;Kartesisch;-2.750;3.250;0.000;
116;Standard;0;Kartesisch;-2.750;3.500;0.000;
117;Standard;0;Kartesisch;-2.500;-3.500;0.000;
118;Standard;0;Kartesisch;-2.500;-3.250;0.000;
119;Standard;0;Kartesisch;-2.500;-3.000;0.000;
120;Standard;0;Kartesisch;-2.500;-2.750;0.000;
121;Standard;0;Kartesisch;-2.500;-2.500;0.000;
122;Standard;0;Kartesisch;-2.500;-2.250;0.000;
123;Standard;0;Kartesisch;-2.500;-2.000;0.000;
124;Standard;0;Kartesisch;-2.500;-1.750;0.000;
125;Standard;0;Kartesisch;-2.500;-1.500;0.000;
126;Standard;0;Kartesisch;-2.500;-1.250;0.000;
127;Standard;0;Kartesisch;-2.500;-1.000;0.000;
128;Standard;0;Kartesisch;-2.500;-0.750;0.000;
129;Standard;0;Kartesisch;-2.500;-0.500;0.000;
130;Standard;0;Kartesisch;-2.500;-0.250;0.000;
131;Standard;0;Kartesisch;-2.500;0.000;0.000;
132;Standard;0;Kartesisch;-2.500;0.250;0.000;
133;Standard;0;Kartesisch;-2.500;0.500;0.000;
134;Standard;0;Kartesisch;-2.500;0.750;0.000;
135;Standard;0;Kartesisch;-2.500;1.000;0.000;
136;Standard;0;Kartesisch;-2.500;1.250;0.000;
137;Standard;0;Kartesisch;-2.500;1.500;0.000;
138;Standard;0;Kartesisch;-2.500;1.750;0.000;
139;Standard;0;Kartesisch;-2.500;2.000;0.000;
140;Standard;0;Kartesisch;-2.500;2.250;0.000;
141;Standard;0;Kartesisch;-2.500;2.500;0.000;
142;Standard;0;Kartesisch;-2.500;2.750;0.000;
143;Standard;0;Kartesisch;-2.500;3.000;0.000;
144;Standard;0;Kartesisch;-2.500;3.250;0.000;
145;Standard;0;Kartesisch;-2.500;3.500;0.000;
146;Standard;0;Kartesisch;-2.250;-3.500;0.000;
147;Standard;0;Kartesisch;-2.250;-3.250;0.000;
148;Standard;0;Kartesisch;-2.250;-3.000;0.000;
149;Standard;0;Kartesisch;-2.250;-2.750;0.000;
150;Standard;0;Kartesisch;-2.250;-2.500;0.000;
151;Standard;0;Kartesisch;-2.250;-2.250;0.000;
152;Standard;0;Kartesisch;-2.250;-2.000;0.000;
153;Standard;0;Kartesisch;-2.250;-1.750;0.000;
154;Standard;0;Kartesisch;-2.250;-1.500;0.000;
155;Standard;0;Kartesisch;-2.250;-1.250;0.000;
156;Standard;0;Kartesisch;-2.250;-1.000;0.000;
157;Standard;0;Kartesisch;-2.250;-0.750;0.000;
158;Standard;0;Kartesisch;-2.250;-0.500;0.000;
159;Standard;0;Kartesisch;-2.250;-0.250;0.000;
160;Standard;0;Kartesisch;-2.250;0.000;0.000;
161;Standard;0;Kartesisch;-2.250;0.250;0.000;
162;Standard;0;Kartesisch;-2.250;0.500;0.000;
163;Standard;0;Kartesisch;-2.250;0.750;0.000;
164;Standard;0;Kartesisch;-2.250;1.000;0.000;
165;Standard;0;Kartesisch;-2.250;1.250;0.000;
166;Standard;0;Kartesisch;-2.250;1.500;0.000;
167;Standard;0;Kartesisch;-2.250;1.750;0.000;
168;Standard;0;Kartesisch;-2.250;2.000;0.000;
169;Standard;0;Kartesisch;-2.250;2.250;0.000;
170;Standard;0;Kartesisch;-2.250;2.500;0.000;
171;Standard;0;Kartesisch;-2.250;2.750;0.000;
172;Standard;0;Kartesisch;-2.250;3.000;0.000;
173;Standard;0;Kartesisch;-2.250;3.250;0.000;
174;Standard;0;Kartesisch;-2.250;3.500;0.000;
175;Standard;0;Kartesisch;-2.000;-3.500;0.000;
176;Standard;0;Kartesisch;-2.000;-3.250;0.000;
177;Standard;0;Kartesisch;-2.000;-3.000;0.000;
178;Standard;0;Kartesisch;-2.000;-2.750;0.000;
179;Standard;0;Kartesisch;-2.000;-2.500;0.000;
180;Standard;0;Kartesisch;-2.000;-2.250;0.000;
181;Standard;0;Kartesisch;-2.000;-2.000;0.000;
182;Standard;0;Kartesisch;-2.000;-1.750;0.000;
183;Standard;0;Kartesisch;-2.000;-1.500;0.000;
184;Standard;0;Kartesisch;-2.000;-1.250;0.000;
185;Standard;0;Kartesisch;-2.000;-1.000;0.000;
186;Standard;0;Kartesisch;-2.000;-0.750;0.000;
187;Standard;0;Kartesisch;-2.000;-0.500;0.000;
188;Standard;0;Kartesisch;-2.000;-0.250;0.000;
189;Standard;0;Kartesisch;-2.000;0.000;0.000;
190;Standard;0;Kartesisch;-2.000;0.250;0.000;
191;Standard;0;Kartesisch;-2.000;0.500;0.000;
192;Standard;0;Kartesisch;-2.000;0.750;0.000;
193;Standard;0;Kartesisch;-2.000;1.000;0.000;
194;Standard;0;Kartesisch;-2.000;1.250;0.000;
195;Standard;0;Kartesisch;-2.000;1.500;0.000;
196;Standard;0;Kartesisch;-2.000;1.750;0.000;
197;Standard;0;Kartesisch;-2.000;2.000;0.000;
198;Standard;0;Kartesisch;-2.000;2.250;0.000;
199;Standard;0;Kartesisch;-2.000;2.500;0.000;
200;Standard;0;Kartesisch;-2.000;2.750;0.000;
201;Standard;0;Kartesisch;-2.000;3.000;0.000;
202;Standard;0;Kartesisch;-2.000;3.250;0.000;
203;Standard;0;Kartesisch;-2.000;3.500;0.000;
204;Standard;0;Kartesisch;-1.750;-3.500;0.000;
205;Standard;0;Kartesisch;-1.750;-3.250;0.000;
206;Standard;0;Kartesisch;-1.750;-3.000;0.000;
207;Standard;0;Kartesisch;-1.750;-2.750;0.000;
208;Standard;0;Kartesisch;-1.750;-2.500;0.000;
209;Standard;0;Kartesisch;-1.750;-2.250;0.000;
210;Standard;0;Kartesisch;-1.750;-2.000;0.000;
211;Standard;0;Kartesisch;-1.750;-1.750;0.000;
212;Standard;0;Kartesisch;-1.750;-1.500;0.000;
213;Standard;0;Kartesisch;-1.750;-1.250;0.000;
214;Standard;0;Kartesisch;-1.750;-1.000;0.000;
215;Standard;0;Kartesisch;-1.750;-0.750;0.000;
216;Standard;0;Kartesisch;-1.750;-0.500;0.000;
217;Standard;0;Kartesisch;-1.750;-0.250;0.000;
218;Standard;0;Kartesisch;-1.750;0.000;0.000;
219;Standard;0;Kartesisch;-1.750;0.250;0.000;
220;Standard;0;Kartesisch;-1.750;0.500;0.000;
221;Standard;0;Kartesisch;-1.750;0.750;0.000;
222;Standard;0;Kartesisch;-1.750;1.000;0.000;
223;Standard;0;Kartesisch;-1.750;1.250;0.000;
224;Standard;0;Kartesisch;-1.750;1.500;0.000;
225;Standard;0;Kartesisch;-1.750;1.750;0.000;
226;Standard;0;Kartesisch;-1.750;2.000;0.000;
227;Standard;0;Kartesisch;-1.750;2.250;0.000;
228;Standard;0;Kartesisch;-1.750;2.500;0.000;
229;Standard;0;Kartesisch;-1.750;2.750;0.000;
230;Standard;0;Kartesisch;-1.750;3.000;0.000;
231;Standard;0;Kartesisch;-1.750;3.250;0.000;
232;Standard;0;Kartesisch;-1.750;3.500;0.000;
233;Standard;0;Kartesisch;-1.500;-3.500;0.000;
234;Standard;0;Kartesisch;-1.500;-3.250;0.000;
235;Standard;0;Kartesisch;-1.500;-3.000;0.000;
236;Standard;0;Kartesisch;-1.500;-2.750;0.000;
237;Standard;0;Kartesisch;-1.500;-2.500;0.000;
238;Standard;0;Kartesisch;-1.500;-2.250;0.000;
239;Standard;0;Kartesisch;-1.500;-2.000;0.000;
240;Standard;0;Kartesisch;-1.500;-1.750;0.000;
241;Standard;0;Kartesisch;-1.500;-1.500;0.000;
242;Standard;0;Kartesisch;-1.500;-1.250;0.000;
243;Standard;0;Kartesisch;-1.500;-1.000;0.000;
244;Standard;0;Kartesisch;-1.500;-0.750;0.000;
245;Standard;0;Kartesisch;-1.500;-0.500;0.000;
246;Standard;0;Kartesisch;-1.500;-0.250;0.000;
247;Standard;0;Kartesisch;-1.500;0.000;0.000;
248;Standard;0;Kartesisch;-1.500;0.250;0.000;
249;Standard;0;Kartesisch;-1.500;0.500;0.000;
250;Standard;0;Kartesisch;-1.500;0.750;0.000;
251;Standard;0;Kartesisch;-1.500;1.000;0.000;
252;Standard;0;Kartesisch;-1.500;1.250;0.000;
253;Standard;0;Kartesisch;-1.500;1.500;0.000;
254;Standard;0;Kartesisch;-1.500;1.750;0.000;
255;Standard;0;Kartesisch;-1.500;2.000;0.000;
