Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
114;1;0.550;-1.350;-3.579;0.00;-0.17;-0.02;-0.13;-0.38;-5.13;-11.75;-1.73
115;1;0.550;-1.450;-3.600;0.01;-0.14;-0.02;-0.13;-0.35;-5.03;-12.15;-1.81
116;1;0.550;-1.550;-3.622;0.03;-0.11;-0.01;-0.14;-0.31;-4.87;-12.36;-1.92
117;1;0.550;-1.650;-3.643;0.04;-0.09;-0.01;-0.16;-0.26;-4.68;-12.40;-2.03
118;1;0.550;-1.750;-3.665;0.05;-0.07;-0.01;-0.16;-0.21;-4.49;-12.33;-2.08
119;1;0.550;-1.850;-3.686;0.07;-0.05;-0.01;-0.16;-0.18;-4.33;-12.18;-2.08
120;1;0.550;-1.950;-3.708;0.08;-0.04;-0.01;-0.15;-0.15;-4.21;-11.98;-2.00
121;1;0.650;-0.050;-3.323;0.12;0.28;-1.17;-2.38;1.93;25.34;37.06;-31.14
122;1;0.650;-0.150;-3.344;0.11;-0.10;-0.93;-1.71;0.48;18.38;26.85;-24.12
123;1;0.650;-0.250;-3.365;0.06;-0.29;-0.71;-1.56;-0.01;12.24;19.45;-18.18
124;1;0.650;-0.350;-3.386;0.02;-0.39;-0.51;-1.35;-0.15;7.16;13.67;-13.45
125;1;0.650;-0.450;-3.407;0.00;-0.43;-0.37;-1.06;-0.17;3.29;8.98;-9.78
126;1;0.650;-0.550;-3.428;-0.02;-0.43;-0.26;-0.77;-0.14;0.47;5.03;-6.97
127;1;0.650;-0.650;-3.449;-0.03;-0.41;-0.18;-0.53;-0.12;-1.45;1.73;-4.91
128;1;0.650;-0.750;-3.470;-0.04;-0.38;-0.13;-0.39;-0.12;-2.71;-1.05;-3.42
129;1;0.650;-0.850;-3.490;-0.04;-0.33;-0.09;-0.23;-0.17;-3.51;-3.38;-2.39
130;1;0.650;-0.950;-3.511;-0.04;-0.29;-0.07;-0.09;-0.32;-4.05;-5.31;-1.70
131;1;0.650;-1.050;-3.532;-0.03;-0.25;-0.05;-0.06;-0.40;-4.41;-6.88;-1.28
132;1;0.650;-1.150;-3.553;-0.02;-0.22;-0.04;-0.04;-0.42;-4.63;-8.14;-1.05
133;1;0.650;-1.250;-3.574;-0.01;-0.18;-0.03;-0.04;-0.42;-4.72;-9.11;-0.99
134;1;0.650;-1.350;-3.595;0.00;-0.15;-0.03;-0.05;-0.38;-4.72;-9.83;-1.02
135;1;0.650;-1.450;-3.616;0.01;-0.12;-0.02;-0.06;-0.34;-4.64;-10.36;-1.10
136;1;0.650;-1.550;-3.637;0.02;-0.10;-0.02;-0.08;-0.29;-4.49;-10.72;-1.20
137;1;0.650;-1.650;-3.658;0.03;-0.07;-0.01;-0.10;-0.25;-4.30;-10.92;-1.30
138;1;0.650;-1.750;-3.679;0.04;-0.05;-0.01;-0.10;-0.22;-4.12;-11.00;-1.37
139;1;0.650;-1.850;-3.700;0.06;-0.04;-0.01;-0.10;-0.18;-3.95;-11.00;-1.38
140;1;0.650;-1.950;-3.721;0.07;-0.03;-0.01;-0.10;-0.15;-3.82;-10.94;-1.32
141;1;0.750;-0.050;-3.348;0.12;0.32;-1.00;-2.84;2.14;25.50;39.84;-29.08
142;1;0.750;-0.150;-3.368;0.12;-0.02;-0.78;-1.83;0.85;18.31;29.38;-21.85
143;1;0.750;-0.250;-3.388;0.07;-0.21;-0.58;-1.39;0.33;12.27;21.75;-16.06
144;1;0.750;-0.350;-3.409;0.04;-0.31;-0.42;-1.04;0.10;7.43;15.83;-11.65
145;1;0.750;-0.450;-3.429;0.01;-0.35;-0.30;-0.72;0.00;3.78;11.08;-8.33
146;1;0.750;-0.550;-3.449;-0.01;-0.36;-0.21;-0.47;-0.04;1.11;7.13;-5.82
147;1;0.750;-0.650;-3.470;-0.02;-0.35;-0.15;-0.33;-0.05;-0.74;3.85;-3.97
148;1;0.750;-0.750;-3.490;-0.02;-0.31;-0.11;-0.18;-0.15;-1.98;1.07;-2.65
149;1;0.750;-0.850;-3.510;-0.02;-0.28;-0.08;-0.04;-0.30;-2.86;-1.26;-1.69
150;1;0.750;-0.950;-3.530;-0.02;-0.25;-0.07;0.00;-0.39;-3.48;-3.21;-1.05
151;1;0.750;-1.050;-3.551;-0.02;-0.21;-0.05;0.02;-0.43;-3.90;-4.82;-0.64
152;1;0.750;-1.150;-3.571;-0.01;-0.18;-0.04;0.03;-0.43;-4.17;-6.12;-0.42
153;1;0.750;-1.250;-3.591;0.00;-0.15;-0.04;0.02;-0.41;-4.29;-7.16;-0.35
154;1;0.750;-1.350;-3.612;0.01;-0.12;-0.03;0.00;-0.36;-4.30;-7.97;-0.37
155;1;0.750;-1.450;-3.632;0.02;-0.10;-0.02;-0.01;-0.32;-4.23;-8.59;-0.45
156;1;0.750;-1.550;-3.652;0.02;-0.08;-0.02;-0.03;-0.28;-4.09;-9.06;-0.54
157;1;0.750;-1.650;-3.673;0.03;-0.06;-0.02;-0.04;-0.25;-3.90;-9.38;-0.65
158;1;0.750;-1.750;-3.693;0.04;-0.04;-0.02;-0.04;-0.22;-3.72;-9.59;-0.71
159;1;0.750;-1.850;-3.713;0.05;-0.03;-0.02;-0.05;-0.19;-3.55;-9.71;-0.73
160;1;0.750;-1.950;-3.734;0.06;-0.02;-0.02;-0.06;-0.15;-3.41;-9.77;-0.67
161;1;0.850;-0.050;-3.372;0.09;0.30;-0.84;-2.99;2.12;25.07;41.90;-27.20
162;1;0.850;-0.150;-3.392;0.10;0.00;-0.65;-1.83;1.02;17.73;31.49;-19.86
163;1;0.850;-0.250;-3.412;0.07;-0.17;-0.48;-1.23;0.51;11.87;23.84;-14.27
164;1;0.850;-0.350;-3.431;0.04;-0.26;-0.34;-0.80;0.24;7.33;17.88;-10.15
165;1;0.850;-0.450;-3.451;0.02;-0.29;-0.25;-0.49;0.10;3.97;13.11;-7.11
166;1;0.850;-0.550;-3.471;0.00;-0.30;-0.18;-0.34;0.04;1.50;9.15;-4.82
167;1;0.850;-0.650;-3.490;-0.01;-0.28;-0.13;-0.17;-0.09;-0.21;5.85;-3.17
168;1;0.850;-0.750;-3.510;-0.01;-0.26;-0.10;0.00;-0.27;-1.43;3.09;-1.94
169;1;0.850;-0.850;-3.530;-0.01;-0.24;-0.08;0.04;-0.37;-2.32;0.74;-1.05
170;1;0.850;-0.950;-3.550;0.00;-0.21;-0.07;0.08;-0.43;-2.98;-1.23;-0.44
171;1;0.850;-1.050;-3.569;0.00;-0.18;-0.06;0.08;-0.44;-3.43;-2.87;-0.05
172;1;0.850;-1.150;-3.589;0.00;-0.15;-0.05;0.07;-0.42;-3.71;-4.21;0.16
173;1;0.850;-1.250;-3.609;0.01;-0.12;-0.04;0.05;-0.39;-3.85;-5.30;0.23
174;1;0.850;-1.350;-3.628;0.02;-0.10;-0.03;0.04;-0.35;-3.86;-6.18;0.21
175;1;0.850;-1.450;-3.648;0.02;-0.08;-0.03;0.03;-0.31;-3.79;-6.87;0.15
176;1;0.850;-1.550;-3.668;0.03;-0.06;-0.02;0.02;-0.27;-3.66;-7.42;0.05
177;1;0.850;-1.650;-3.687;0.03;-0.04;-0.02;0.01;-0.24;-3.48;-7.83;-0.04
178;1;0.850;-1.750;-3.707;0.04;-0.03;-0.02;0.01;-0.21;-3.30;-8.14;-0.11
179;1;0.850;-1.850;-3.727;0.05;-0.01;-0.02;0.00;-0.18;-3.12;-8.37;-0.12
180;1;0.850;-1.950;-3.746;0.05;0.00;-0.02;-0.01;-0.15;-2.96;-8.53;-0.08
181;1;0.950;-0.050;-3.397;0.04;0.25;-0.69;-2.94;1.97;24.11;43.23;-25.39
182;1;0.950;-0.150;-3.416;0.07;0.00;-0.53;-1.74;1.05;16.76;33.14;-18.07
183;1;0.950;-0.250;-3.435;0.06;-0.14;-0.39;-1.06;0.58;11.20;25.67;-12.73
184;1;0.950;-0.350;-3.454;0.04;-0.21;-0.29;-0.62;0.30;7.04;19.78;-8.89
185;1;0.950;-0.450;-3.473;0.03;-0.25;-0.22;-0.41;0.18;3.98;15.02;-6.06
186;1;0.950;-0.550;-3.492;0.01;-0.25;-0.16;-0.19;0.00;1.77;11.03;-3.99
187;1;0.950;-0.650;-3.511;0.01;-0.24;-0.13;0.00;-0.22;0.19;7.76;-2.44
188;1;0.950;-0.750;-3.530;0.01;-0.22;-0.10;0.05;-0.33;-0.98;4.98;-1.30
189;1;0.950;-0.850;-3.550;0.01;-0.20;-0.09;0.09;-0.41;-1.87;2.62;-0.46
190;1;0.950;-0.950;-3.569;0.01;-0.17;-0.07;0.10;-0.43;-2.52;0.63;0.12
191;1;0.950;-1.050;-3.588;0.02;-0.15;-0.06;0.10;-0.42;-2.98;-1.03;0.49
192;1;0.950;-1.150;-3.607;0.02;-0.12;-0.05;0.09;-0.40;-3.26;-2.41;0.69
193;1;0.950;-1.250;-3.626;0.02;-0.10;-0.05;0.08;-0.36;-3.39;-3.54;0.77
194;1;0.950;-1.350;-3.645;0.03;-0.08;-0.04;0.07;-0.33;-3.41;-4.47;0.75
195;1;0.950;-1.450;-3.664;0.03;-0.06;-0.03;0.06;-0.29;-3.34;-5.22;0.69
196;1;0.950;-1.550;-3.683;0.04;-0.04;-0.03;0.06;-0.26;-3.20;-5.83;0.60
197;1;0.950;-1.650;-3.702;0.04;-0.02;-0.03;0.05;-0.24;-3.03;-6.31;0.51
198;1;0.950;-1.750;-3.721;0.04;-0.01;-0.02;0.05;-0.21;-2.84;-6.71;0.44
199;1;0.950;-1.850;-3.740;0.05;0.00;-0.02;0.04;-0.17;-2.65;-7.02;0.43
200;1;0.950;-1.950;-3.759;0.05;0.01;-0.02;0.03;-0.14;-2.47;-7.26;0.47
201;1;1.050;-0.050;-3.422;-0.02;0.19;-0.56;-2.74;1.74;22.69;43.81;-23.56
202;1;1.050;-0.150;-3.440;0.04;-0.01;-0.43;-1.56;1.00;15.53;34.32;-16.46
203;1;1.050;-0.250;-3.459;0.05;-0.12;-0.33;-0.88;0.59;10.40;27.19;-11.43
204;1;1.050;-0.350;-3.477;0.04;-0.18;-0.25;-0.56;0.36;6.63;21.46;-7.81
205;1;1.050;-0.450;-3.495;0.03;-0.20;-0.19;-0.28;0.13;3.92;16.72;-5.21
206;1;1.050;-0.550;-3.514;0.02;-0.20;-0.15;-0.04;-0.14;1.96;12.81;-3.25
207;1;1.050;-0.650;-3.532;0.02;-0.19;-0.13;0.03;-0.28;0.51;9.52;-1.81
208;1;1.050;-0.750;-3.551;0.03;-0.18;-0.11;0.08;-0.37;-0.60;6.73;-0.72
209;1;1.050;-0.850;-3.569;0.03;-0.16;-0.09;0.11;-0.41;-1.46;4.37;0.08
210;1;1.050;-0.950;-3.588;0.03;-0.14;-0.08;0.11;-0.41;-2.09;2.37;0.64
211;1;1.050;-1.050;-3.606;0.04;-0.11;-0.07;0.10;-0.40;-2.53;0.68;0.99
212;1;1.050;-1.150;-3.625;0.04;-0.09;-0.06;0.11;-0.38;-2.80;-0.72;1.19
213;1;1.050;-1.250;-3.643;0.04;-0.07;-0.05;0.10;-0.34;-2.92;-1.89;1.26
214;1;1.050;-1.350;-3.661;0.04;-0.05;-0.04;0.09;-0.31;-2.93;-2.85;1.25
215;1;1.050;-1.450;-3.680;0.04;-0.04;-0.04;0.09;-0.28;-2.85;-3.65;1.19
216;1;1.050;-1.550;-3.698;0.05;-0.02;-0.03;0.09;-0.26;-2.72;-4.30;1.10
217;1;1.050;-1.650;-3.717;0.05;-0.01;-0.03;0.09;-0.23;-2.55;-4.85;1.01
218;1;1.050;-1.750;-3.735;0.05;0.00;-0.03;0.08;-0.20;-2.35;-5.30;0.95
219;1;1.050;-1.850;-3.754;0.05;0.01;-0.03;0.07;-0.17;-2.14;-5.68;0.93
220;1;1.050;-1.950;-3.772;0.06;0.02;-0.03;0.06;-0.14;-1.95;-6.00;0.97
221;1;1.150;-0.050;-3.446;-0.07;0.12;-0.45;-2.48;1.47;20.90;43.64;-21.68
222;1;1.150;-0.150;-3.464;0.00;-0.03;-0.36;-1.38;0.85;14.17;35.09;-15.02
223;1;1.150;-0.250;-3.482;0.03;-0.11;-0.28;-0.85;0.57;9.53;28.35;-10.28
224;1;1.150;-0.350;-3.500;0.03;-0.15;-0.21;-0.44;0.28;6.22;22.82;-6.95
225;1;1.150;-0.450;-3.518;0.03;-0.17;-0.18;-0.13;-0.02;3.86;18.26;-4.47
226;1;1.150;-0.550;-3.535;0.03;-0.17;-0.15;-0.03;-0.21;2.13;14.41;-2.63
227;1;1.150;-0.650;-3.553;0.04;-0.16;-0.13;0.04;-0.32;0.79;11.13;-1.24
228;1;1.150;-0.750;-3.571;0.04;-0.14;-0.11;0.07;-0.38;-0.26;8.35;-0.19
229;1;1.150;-0.850;-3.589;0.05;-0.13;-0.10;0.09;-0.39;-1.07;5.98;0.58
230;1;1.150;-0.950;-3.607;0.05;-0.11;-0.09;0.10;-0.38;-1.66;3.97;1.11
231;1;1.150;-1.050;-3.625;0.05;-0.09;-0.08;0.11;-0.37;-2.07;2.28;1.46
232;1;1.150;-1.150;-3.642;0.06;-0.07;-0.07;0.10;-0.35;-2.31;0.85;1.64
233;1;1.150;-1.250;-3.660;0.06;-0.05;-0.05;0.09;-0.32;-2.41;-0.34;1.71
234;1;1.150;-1.350;-3.678;0.06;-0.03;-0.05;0.11;-0.30;-2.42;-1.33;1.70
235;1;1.150;-1.450;-3.696;0.06;-0.02;-0.04;0.11;-0.28;-2.34;-2.16;1.64
236;1;1.150;-1.550;-3.714;0.06;0.00;-0.04;0.12;-0.25;-2.21;-2.85;1.56
237;1;1.150;-1.650;-3.731;0.06;0.01;-0.03;0.11;-0.22;-2.03;-3.44;1.48
238;1;1.150;-1.750;-3.749;0.06;0.02;-0.03;0.11;-0.19;-1.82;-3.95;1.41
239;1;1.150;-1.850;-3.767;0.06;0.03;-0.03;0.10;-0.16;-1.60;-4.38;1.39
240;1;1.150;-1.950;-3.785;0.06;0.03;-0.03;0.09;-0.13;-1.40;-4.75;1.42
241;1;1.250;-0.050;-3.471;-0.12;0.06;-0.37;-2.21;1.21;18.89;42.69;-19.78
242;1;1.250;-0.150;-3.488;-0.03;-0.05;-0.30;-1.31;0.66;12.85;35.41;-13.73
