element_number;x[m];y[m];t[mm]
153.0;-0.875;-0.375;121.254611712
154.0;-0.875;-0.125;159.816177774
155.0;-0.625;-3.375;60.164873675
156.0;-0.625;-3.125;60.1280078698
157.0;-0.625;-2.875;60.1282576672
158.0;-0.625;-2.625;60.1322064346
159.0;-0.625;-2.375;60.1351145312
160.0;-0.625;-2.125;60.1303436656
161.0;-0.625;-1.875;60.1456462125
162.0;-0.625;-1.625;60.0655604923
163.0;-0.625;-1.375;61.763712022
164.0;-0.625;-1.125;72.0241022645
165.0;-0.625;-0.875;91.9714399302
166.0;-0.625;-0.625;121.245342361
167.0;-0.625;-0.375;159.768757798
168.0;-0.625;-0.125;207.356570697
169.0;-0.375;-3.375;60.1800725201
170.0;-0.375;-3.125;60.1299204359
171.0;-0.375;-2.875;60.1262905064
172.0;-0.375;-2.625;60.1301920984
173.0;-0.375;-2.375;60.1278887407
174.0;-0.375;-2.125;60.1471137098
175.0;-0.375;-1.875;60.1239371554
176.0;-0.375;-1.625;61.6638648557
177.0;-0.375;-1.375;72.0321965391
178.0;-0.375;-1.125;91.9813891902
179.0;-0.375;-0.875;121.254059895
180.0;-0.375;-0.625;159.76899307
181.0;-0.375;-0.375;207.42654812
182.0;-0.375;-0.125;264.382588484
183.0;-0.125;-3.375;60.3382478416
184.0;-0.125;-3.125;60.1362455839
185.0;-0.125;-2.875;60.1134516009
186.0;-0.125;-2.625;60.0997600425
187.0;-0.125;-2.375;60.0594756108
188.0;-0.125;-2.125;59.9167758003
189.0;-0.125;-1.875;61.6901314917
190.0;-0.125;-1.625;72.0546686163
191.0;-0.125;-1.375;92.0045361936
192.0;-0.125;-1.125;121.280851097
193.0;-0.125;-0.875;159.804589634
194.0;-0.125;-0.625;207.366623491
195.0;-0.125;-0.375;264.334675943
196.0;-0.125;-0.125;310.884780317
197.0;0.125;-3.375;60.3382478416
198.0;0.125;-3.125;60.1362455839
199.0;0.125;-2.875;60.1134516009
200.0;0.125;-2.625;60.0997600426
201.0;0.125;-2.375;60.0594756108
202.0;0.125;-2.125;59.9167758003
203.0;0.125;-1.875;61.6901314917
204.0;0.125;-1.625;72.0546686164
205.0;0.125;-1.375;92.0045361936
206.0;0.125;-1.125;121.280851097
207.0;0.125;-0.875;159.804589634
208.0;0.125;-0.625;207.366623491
209.0;0.125;-0.375;264.334675943
210.0;0.125;-0.125;310.884780317
211.0;0.375;-3.375;60.1800725201
212.0;0.375;-3.125;60.1299204359
213.0;0.375;-2.875;60.1262905064
214.0;0.375;-2.625;60.1301920984
215.0;0.375;-2.375;60.1278887407
216.0;0.375;-2.125;60.1471137098
217.0;0.375;-1.875;60.1239371554
218.0;0.375;-1.625;61.6638648557
219.0;0.375;-1.375;72.0321965391
220.0;0.375;-1.125;91.9813891902
