Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
92;Standard;0;Kartesisch;0.400;-0.700;-3.408;
93;Standard;0;Kartesisch;0.400;-0.800;-3.430;
94;Standard;0;Kartesisch;0.400;-0.900;-3.453;
95;Standard;0;Kartesisch;0.400;-1.000;-3.475;
96;Standard;0;Kartesisch;0.400;-1.100;-3.498;
97;Standard;0;Kartesisch;0.400;-1.200;-3.520;
98;Standard;0;Kartesisch;0.400;-1.300;-3.543;
99;Standard;0;Kartesisch;0.400;-1.400;-3.565;
100;Standard;0;Kartesisch;0.400;-1.500;-3.588;
101;Standard;0;Kartesisch;0.400;-1.600;-3.610;
102;Standard;0;Kartesisch;0.400;-1.700;-3.633;
103;Standard;0;Kartesisch;0.400;-1.800;-3.655;
104;Standard;0;Kartesisch;0.400;-1.900;-3.678;
105;Standard;0;Kartesisch;0.400;-2.000;-3.700;
106;Standard;0;Kartesisch;0.500;0.000;-3.275;
107;Standard;0;Kartesisch;0.500;-0.100;-3.297;
108;Standard;0;Kartesisch;0.500;-0.200;-3.319;
109;Standard;0;Kartesisch;0.500;-0.300;-3.341;
110;Standard;0;Kartesisch;0.500;-0.400;-3.363;
111;Standard;0;Kartesisch;0.500;-0.500;-3.384;
112;Standard;0;Kartesisch;0.500;-0.600;-3.406;
113;Standard;0;Kartesisch;0.500;-0.700;-3.428;
114;Standard;0;Kartesisch;0.500;-0.800;-3.450;
115;Standard;0;Kartesisch;0.500;-0.900;-3.472;
116;Standard;0;Kartesisch;0.500;-1.000;-3.494;
117;Standard;0;Kartesisch;0.500;-1.100;-3.516;
118;Standard;0;Kartesisch;0.500;-1.200;-3.538;
119;Standard;0;Kartesisch;0.500;-1.300;-3.559;
120;Standard;0;Kartesisch;0.500;-1.400;-3.581;
121;Standard;0;Kartesisch;0.500;-1.500;-3.603;
122;Standard;0;Kartesisch;0.500;-1.600;-3.625;
123;Standard;0;Kartesisch;0.500;-1.700;-3.647;
124;Standard;0;Kartesisch;0.500;-1.800;-3.669;
125;Standard;0;Kartesisch;0.500;-1.900;-3.691;
126;Standard;0;Kartesisch;0.500;-2.000;-3.713;
127;Standard;0;Kartesisch;0.600;0.000;-3.300;
128;Standard;0;Kartesisch;0.600;-0.100;-3.321;
129;Standard;0;Kartesisch;0.600;-0.200;-3.343;
130;Standard;0;Kartesisch;0.600;-0.300;-3.364;
131;Standard;0;Kartesisch;0.600;-0.400;-3.385;
132;Standard;0;Kartesisch;0.600;-0.500;-3.406;
133;Standard;0;Kartesisch;0.600;-0.600;-3.428;
134;Standard;0;Kartesisch;0.600;-0.700;-3.449;
135;Standard;0;Kartesisch;0.600;-0.800;-3.470;
136;Standard;0;Kartesisch;0.600;-0.900;-3.491;
137;Standard;0;Kartesisch;0.600;-1.000;-3.513;
138;Standard;0;Kartesisch;0.600;-1.100;-3.534;
139;Standard;0;Kartesisch;0.600;-1.200;-3.555;
140;Standard;0;Kartesisch;0.600;-1.300;-3.576;
141;Standard;0;Kartesisch;0.600;-1.400;-3.598;
142;Standard;0;Kartesisch;0.600;-1.500;-3.619;
143;Standard;0;Kartesisch;0.600;-1.600;-3.640;
144;Standard;0;Kartesisch;0.600;-1.700;-3.661;
145;Standard;0;Kartesisch;0.600;-1.800;-3.683;
146;Standard;0;Kartesisch;0.600;-1.900;-3.704;
147;Standard;0;Kartesisch;0.600;-2.000;-3.725;
148;Standard;0;Kartesisch;0.700;0.000;-3.325;
149;Standard;0;Kartesisch;0.700;-0.100;-3.346;
150;Standard;0;Kartesisch;0.700;-0.200;-3.366;
151;Standard;0;Kartesisch;0.700;-0.300;-3.387;
