node_number;x[m];y[m];z[m]
153.0;0.7;-0.5;-3.03035996337
154.0;0.7;-0.6;-3.0524885995
155.0;0.7;-0.7;-3.07619525218
156.0;0.7;-0.8;-3.10164090165
157.0;0.7;-0.9;-3.12861950777
158.0;0.7;-1.0;-3.15680354598
159.0;0.7;-1.1;-3.18574418821
160.0;0.7;-1.2;-3.21487532934
161.0;0.7;-1.3;-3.24382694897
162.0;0.7;-1.4;-3.2726416803
163.0;0.7;-1.5;-3.3014944488
164.0;0.7;-1.6;-3.33040426025
165.0;0.7;-1.7;-3.35931029525
166.0;0.7;-1.8;-3.38820098725
167.0;0.7;-1.9;-3.41709428173
168.0;0.7;-2.0;-3.44598953184
169.0;0.8;0.0;-2.95908132743
170.0;0.8;-0.1;-2.97578270035
171.0;0.8;-0.2;-2.99359485702
172.0;0.8;-0.3;-3.0126364244
173.0;0.8;-0.4;-3.03295295178
174.0;0.8;-0.5;-3.05444479112
175.0;0.8;-0.6;-3.07723224464
176.0;0.8;-0.7;-3.10164090165
177.0;0.8;-0.8;-3.12772645119
178.0;0.8;-0.9;-3.15506594804
179.0;0.8;-1.0;-3.18306700965
180.0;0.8;-1.1;-3.21127900882
181.0;0.8;-1.2;-3.2394253839
182.0;0.8;-1.3;-3.26740377249
183.0;0.8;-1.4;-3.29531261048
184.0;0.8;-1.5;-3.32329204512
185.0;0.8;-1.6;-3.35134451127
186.0;0.8;-1.7;-3.37939005312
187.0;0.8;-1.8;-3.40739881692
188.0;0.8;-1.9;-3.43539558553
189.0;0.8;-2.0;-3.46339850627
190.0;0.9;0.0;-2.98276195771
191.0;0.9;-0.1;-2.99985134014
192.0;0.9;-0.2;-3.01813863291
193.0;0.9;-0.3;-3.03739266857
194.0;0.9;-0.4;-3.05782099343
195.0;0.9;-0.5;-3.07978326696
196.0;0.9;-0.6;-3.10342441652
197.0;0.9;-0.7;-3.12861950777
198.0;0.9;-0.8;-3.15506594804
199.0;0.9;-0.9;-3.18223497515
200.0;0.9;-1.0;-3.20954406971
201.0;0.9;-1.1;-3.23671969995
202.0;0.9;-1.2;-3.26381426455
203.0;0.9;-1.3;-3.290918399
204.0;0.9;-1.4;-3.31803335581
205.0;0.9;-1.5;-3.34515430625
206.0;0.9;-1.6;-3.3722896355
207.0;0.9;-1.7;-3.39942860892
208.0;0.9;-1.8;-3.42655609928
209.0;0.9;-1.9;-3.45367553075
210.0;0.9;-2.0;-3.4807979445
211.0;1.0;0.0;-3.00758007668
212.0;1.0;-0.1;-3.02494612366
213.0;1.0;-0.2;-3.0435948548
214.0;1.0;-0.3;-3.06327190605
215.0;1.0;-0.4;-3.08422084696
216.0;1.0;-0.5;-3.10686467628
217.0;1.0;-0.6;-3.13121632784
218.0;1.0;-0.7;-3.15680354598
219.0;1.0;-0.8;-3.18306700965
220.0;1.0;-0.9;-3.2095440697
221.0;1.0;-1.0;-3.23590302715
222.0;1.0;-1.1;-3.26207615272
223.0;1.0;-1.2;-3.28822424837
224.0;1.0;-1.3;-3.31446523553
225.0;1.0;-1.4;-3.3407495009
226.0;1.0;-1.5;-3.36700517374
227.0;1.0;-1.6;-3.39323545575
228.0;1.0;-1.7;-3.41946883105
229.0;1.0;-1.8;-3.44570996696
230.0;1.0;-1.9;-3.47195209765
231.0;1.0;-2.0;-3.49819493665
232.0;1.1;0.0;-3.03391159554
233.0;1.1;-0.1;-3.0513643398
234.0;1.1;-0.2;-3.07017579344
235.0;1.1;-0.3;-3.09043274753
236.0;1.1;-0.4;-3.11225371891
237.0;1.1;-0.5;-3.13564995666
238.0;1.1;-0.6;-3.16034442042
239.0;1.1;-0.7;-3.18574418821
240.0;1.1;-0.8;-3.21127900882
241.0;1.1;-0.9;-3.23671969995
242.0;1.1;-1.0;-3.26207615272
243.0;1.1;-1.1;-3.28739437604
244.0;1.1;-1.2;-3.31271622595
245.0;1.1;-1.3;-3.33807370858
246.0;1.1;-1.4;-3.36345420194
247.0;1.1;-1.5;-3.38882355237
248.0;1.1;-1.6;-3.41417491282
249.0;1.1;-1.7;-3.43952445398
250.0;1.1;-1.8;-3.46488108542
251.0;1.1;-1.9;-3.49024057559
252.0;1.1;-2.0;-3.51559879324
253.0;1.2;0.0;-3.06136611446
254.0;1.2;-0.1;-3.07911073122
255.0;1.2;-0.2;-3.09831439001
256.0;1.2;-0.3;-3.11925923229
257.0;1.2;-0.4;-3.14185347574
258.0;1.2;-0.5;-3.16565936815
259.0;1.2;-0.6;-3.19016689865
260.0;1.2;-0.7;-3.21487532934
261.0;1.2;-0.8;-3.2394253839
262.0;1.2;-0.9;-3.26381426455
263.0;1.2;-1.0;-3.28822424837
264.0;1.2;-1.1;-3.31271622595
265.0;1.2;-1.2;-3.33721982942
266.0;1.2;-1.3;-3.36169500528
267.0;1.2;-1.4;-3.38616213165
268.0;1.2;-1.5;-3.41063570861
269.0;1.2;-1.6;-3.43511070081
270.0;1.2;-1.7;-3.45958405471
271.0;1.2;-1.8;-3.48405869186
272.0;1.2;-1.9;-3.50853465655
273.0;1.2;-2.0;-3.53300905904
274.0;1.3;0.0;-3.0897649984
275.0;1.3;-0.1;-3.10820087944
276.0;1.3;-0.2;-3.12816903221
277.0;1.3;-0.3;-3.1497770569
278.0;1.3;-0.4;-3.17272444968
279.0;1.3;-0.5;-3.19635622262
280.0;1.3;-0.6;-3.22013157073
281.0;1.3;-0.7;-3.24382694897
282.0;1.3;-0.8;-3.26740377249
283.0;1.3;-0.9;-3.290918399
284.0;1.3;-1.0;-3.31446523553
285.0;1.3;-1.1;-3.33807370859
286.0;1.3;-1.2;-3.36169500528
287.0;1.3;-1.3;-3.38529060719
288.0;1.3;-1.4;-3.40887092348
289.0;1.3;-1.5;-3.43245627976
290.0;1.3;-1.6;-3.45604840871
291.0;1.3;-1.7;-3.4796402811
292.0;1.3;-1.8;-3.5032307837
293.0;1.3;-1.9;-3.52682358322
294.0;1.3;-2.0;-3.55041821986
295.0;1.4;0.0;-3.11952144799
296.0;1.4;-0.1;-3.13881187327
297.0;1.4;-0.2;-3.15956418939
298.0;1.4;-0.3;-3.18154027798
299.0;1.4;-0.4;-3.2043026598
300.0;1.4;-0.5;-3.22724940941
301.0;1.4;-0.6;-3.25001021255
302.0;1.4;-0.7;-3.2726416803
303.0;1.4;-0.8;-3.29531261048
304.0;1.4;-0.9;-3.31803335581
305.0;1.4;-1.0;-3.3407495009
306.0;1.4;-1.1;-3.36345420194
307.0;1.4;-1.2;-3.38616213165
308.0;1.4;-1.3;-3.40887092348
309.0;1.4;-1.4;-3.43157550466
310.0;1.4;-1.5;-3.4542800542
311.0;1.4;-1.6;-3.47698761013
312.0;1.4;-1.7;-3.49969515172
313.0;1.4;-1.8;-3.52240099006
314.0;1.4;-1.9;-3.54510884613
315.0;1.4;-2.0;-3.56781961693
316.0;1.5;0.0;-3.15104074927
317.0;1.5;-0.1;-3.17100585103
318.0;1.5;-0.2;-3.19218198369
319.0;1.5;-0.3;-3.21400108814
320.0;1.5;-0.4;-3.23603055818
321.0;1.5;-0.5;-3.25798584161
322.0;1.5;-0.6;-3.27977036459
323.0;1.5;-0.7;-3.3014944488
324.0;1.5;-0.8;-3.32329204512
325.0;1.5;-0.9;-3.34515430625
326.0;1.5;-1.0;-3.36700517374
