element_number;x[m];y[m];t[mm]
169.0;0.45;2.85;60.1353247776
170.0;0.45;2.95;60.1371428957
171.0;0.45;3.05;60.1387177791
172.0;0.45;3.15;60.1392824508
173.0;0.45;3.25;60.1417950158
174.0;0.45;3.35;60.1529747053
175.0;0.45;3.45;60.159066892
176.0;0.55;0.05;60.1350994161
177.0;0.55;0.15;60.1304909566
178.0;0.55;0.25;60.1279160554
179.0;0.55;0.35;60.129426481
180.0;0.55;0.45;60.1300660577
181.0;0.55;0.55;60.1295443989
182.0;0.55;0.65;60.1295351729
183.0;0.55;0.75;60.1297766488
184.0;0.55;0.85;60.1298080997
185.0;0.55;0.95;60.1297491086
186.0;0.55;1.05;60.1298080996
187.0;0.55;1.15;60.1298697102
188.0;0.55;1.25;60.1298704452
189.0;0.55;1.35;60.129926417
190.0;0.55;1.45;60.1299071038
191.0;0.55;1.55;60.1300123986
192.0;0.55;1.65;60.1299499137
193.0;0.55;1.75;60.1300862954
194.0;0.55;1.85;60.1300100594
195.0;0.55;1.95;60.1301603494
196.0;0.55;2.05;60.1301039392
197.0;0.55;2.15;60.1302364486
198.0;0.55;2.25;60.130224118
199.0;0.55;2.35;60.1302841954
200.0;0.55;2.45;60.1303853774
201.0;0.55;2.55;60.13041215
202.0;0.55;2.65;60.1305393609
203.0;0.55;2.75;60.1304150173
204.0;0.55;2.85;60.1309814596
205.0;0.55;2.95;60.130799787
206.0;0.55;3.05;60.1305849153
207.0;0.55;3.15;60.1314178008
208.0;0.55;3.25;60.1339089654
209.0;0.55;3.35;60.1319013008
210.0;0.55;3.45;60.1278396601
211.0;0.65;0.05;60.1361699991
212.0;0.65;0.15;60.1315258411
213.0;0.65;0.25;60.1279952358
214.0;0.65;0.35;60.1293115515
215.0;0.65;0.45;60.1301568926
216.0;0.65;0.55;60.1295343968
217.0;0.65;0.65;60.1293301646
218.0;0.65;0.75;60.1295237594
219.0;0.65;0.85;60.1294933659
220.0;0.65;0.95;60.1293722
221.0;0.65;1.05;60.1293335418
222.0;0.65;1.15;60.1293249245
223.0;0.65;1.25;60.1292588874
224.0;0.65;1.35;60.1292167838
225.0;0.65;1.45;60.1291516786
226.0;0.65;1.55;60.1291234303
227.0;0.65;1.65;60.1290380908
228.0;0.65;1.75;60.1290085166
229.0;0.65;1.85;60.1289090106
230.0;0.65;1.95;60.1288748474
231.0;0.65;2.05;60.1287687769
232.0;0.65;2.15;60.1287322248
233.0;0.65;2.25;60.128576206
234.0;0.65;2.35;60.1285009169
235.0;0.65;2.45;60.1284295904
236.0;0.65;2.55;60.1283270977
237.0;0.65;2.65;60.1278985324
238.0;0.65;2.75;60.1278711806
239.0;0.65;2.85;60.1283161897
240.0;0.65;2.95;60.1273128045
241.0;0.65;3.05;60.125060024
242.0;0.65;3.15;60.1273920895
243.0;0.65;3.25;60.1298281905
244.0;0.65;3.35;60.1169635459
245.0;0.65;3.45;60.1070265034
246.0;0.75;0.05;60.1373277782
247.0;0.75;0.15;60.132313077
248.0;0.75;0.25;60.1277181913
249.0;0.75;0.35;60.1294916546
250.0;0.75;0.45;60.1305226796
251.0;0.75;0.55;60.1297773281
252.0;0.75;0.65;60.1295249807
253.0;0.75;0.75;60.1298355389
254.0;0.75;0.85;60.1298261884
255.0;0.75;0.95;60.1297428173
256.0;0.75;1.05;60.129732482
257.0;0.75;1.15;60.1297670976
258.0;0.75;1.25;60.1297574385
259.0;0.75;1.35;60.1297332925
260.0;0.75;1.45;60.129755963
261.0;0.75;1.55;60.1297246843
262.0;0.75;1.65;60.1297582452
263.0;0.75;1.75;60.1297124683
264.0;0.75;1.85;60.1297522061
265.0;0.75;1.95;60.1297013411
266.0;0.75;2.05;60.1297472049
267.0;0.75;2.15;60.1297294776
268.0;0.75;2.25;60.1296909486
269.0;0.75;2.35;60.1296768152
270.0;0.75;2.45;60.1297915297
271.0;0.75;2.55;60.1298314526
272.0;0.75;2.65;60.1293235343
273.0;0.75;2.75;60.1296494013
274.0;0.75;2.85;60.1307621388
275.0;0.75;2.95;60.1296069101
276.0;0.75;3.05;60.1262713778
277.0;0.75;3.15;60.1319236842
278.0;0.75;3.25;60.1392231616
279.0;0.75;3.35;60.1186051635
280.0;0.75;3.45;60.1022356859
281.0;0.85;0.05;60.1377131418
282.0;0.85;0.15;60.1326381418
283.0;0.85;0.25;60.1272775207
284.0;0.85;0.35;60.1291488201
285.0;0.85;0.45;60.1305697118
286.0;0.85;0.55;60.129808935
287.0;0.85;0.65;60.1294947044
288.0;0.85;0.75;60.1298262647
289.0;0.85;0.85;60.1298811482
290.0;0.85;0.95;60.1297980544
291.0;0.85;1.05;60.1298057777
292.0;0.85;1.15;60.129860049
293.0;0.85;1.25;60.1298641549
294.0;0.85;1.35;60.1298716148
295.0;0.85;1.45;60.1298893112
296.0;0.85;1.55;60.1299074508
297.0;0.85;1.65;60.1299230416
298.0;0.85;1.75;60.1299416541
299.0;0.85;1.85;60.1299578268
300.0;0.85;1.95;60.1299719157
301.0;0.85;2.05;60.130015367
302.0;0.85;2.15;60.1300576014
303.0;0.85;2.25;60.1300137351
304.0;0.85;2.35;60.1300251476
305.0;0.85;2.45;60.1302827323
306.0;0.85;2.55;60.1302892678
307.0;0.85;2.65;60.1296951199
308.0;0.85;2.75;60.1301888426
309.0;0.85;2.85;60.1320066149
310.0;0.85;2.95;60.1299436837
311.0;0.85;3.05;60.1256920247
312.0;0.85;3.15;60.1347501854
313.0;0.85;3.25;60.1456350184
314.0;0.85;3.35;60.1151747996
315.0;0.85;3.45;60.0925396272
316.0;0.95;0.05;60.1385142058
317.0;0.95;0.15;60.1330531895
318.0;0.95;0.25;60.1267543361
319.0;0.95;0.35;60.1290309639
320.0;0.95;0.45;60.130675101
321.0;0.95;0.55;60.1297489993
322.0;0.95;0.65;60.1293723536
323.0;0.95;0.75;60.1297417389
324.0;0.95;0.85;60.1297968585
325.0;0.95;0.95;60.1296816684
326.0;0.95;1.05;60.1296773517
327.0;0.95;1.15;60.1297208254
328.0;0.95;1.25;60.1297103827
329.0;0.95;1.35;60.1297043239
330.0;0.95;1.45;60.1297020763
331.0;0.95;1.55;60.1297104156
332.0;0.95;1.65;60.1296994004
333.0;0.95;1.75;60.1297112432
334.0;0.95;1.85;60.1296946313
335.0;0.95;1.95;60.1296962042
336.0;0.95;2.05;60.1297115986
337.0;0.95;2.15;60.1297428822
338.0;0.95;2.25;60.1296376917
339.0;0.95;2.35;60.1296074539
340.0;0.95;2.45;60.1299433708
341.0;0.95;2.55;60.1298802533
342.0;0.95;2.65;60.1289050652
343.0;0.95;2.75;60.129468671
344.0;0.95;2.85;60.1322129165
345.0;0.95;2.95;60.1292263388
346.0;0.95;3.05;60.1227387007
347.0;0.95;3.15;60.1345100105
348.0;0.95;3.25;60.1488473556
349.0;0.95;3.35;60.1059470584
350.0;0.95;3.45;60.0749653573
351.0;1.05;0.05;60.1394544893
352.0;1.05;0.15;60.1336841343
353.0;1.05;0.25;60.1264377506
354.0;1.05;0.35;60.1288716861
355.0;1.05;0.45;60.1308164997
356.0;1.05;0.55;60.1298083768
357.0;1.05;0.65;60.1293340148
358.0;1.05;0.75;60.129731793
359.0;1.05;0.85;60.1298049425
360.0;1.05;0.95;60.1296778967
361.0;1.05;1.05;60.1296613132
362.0;1.05;1.15;60.1297063705
363.0;1.05;1.25;60.1296926265
364.0;1.05;1.35;60.1296811858
365.0;1.05;1.45;60.129677147
366.0;1.05;1.55;60.1296776104
367.0;1.05;1.65;60.1296680659
368.0;1.05;1.75;60.1296698637
369.0;1.05;1.85;60.1296538715
370.0;1.05;1.95;60.1296425594
371.0;1.05;2.05;60.1296644658
372.0;1.05;2.15;60.1296906836
373.0;1.05;2.25;60.1295511344
374.0;1.05;2.35;60.1295095071
375.0;1.05;2.45;60.129952337
376.0;1.05;2.55;60.1298889632
377.0;1.05;2.65;60.1284150372
378.0;1.05;2.75;60.1292084095
379.0;1.05;2.85;60.1333522592
380.0;1.05;2.95;60.1289720535
381.0;1.05;3.05;60.1192645253
382.0;1.05;3.15;60.1365912467
383.0;1.05;3.25;60.1557013055
384.0;1.05;3.35;60.0946974241
385.0;1.05;3.45;60.053511933
386.0;1.15;0.05;60.140299636
387.0;1.15;0.15;60.1342752222
388.0;1.15;0.25;60.1261114932
389.0;1.15;0.35;60.1287885892
390.0;1.15;0.45;60.1309935595
391.0;1.15;0.55;60.129871993
392.0;1.15;0.65;60.1293275356
393.0;1.15;0.75;60.1297688305
394.0;1.15;0.85;60.1298619602
395.0;1.15;0.95;60.1297241617
396.0;1.15;1.05;60.129709331
397.0;1.15;1.15;60.1297604389
398.0;1.15;1.25;60.129754342
399.0;1.15;1.35;60.1297431226
400.0;1.15;1.45;60.1297482705
401.0;1.15;1.55;60.1297492321
402.0;1.15;1.65;60.1297508991
403.0;1.15;1.75;60.1297541448
404.0;1.15;1.85;60.1297502375
405.0;1.15;1.95;60.1297370479
406.0;1.15;2.05;60.1297765079
407.0;1.15;2.15;60.1298096601
408.0;1.15;2.25;60.1296808237
409.0;1.15;2.35;60.1296491165
410.0;1.15;2.45;60.1301458895
411.0;1.15;2.55;60.1300105399
412.0;1.15;2.65;60.1283188236
413.0;1.15;2.75;60.1296627851
414.0;1.15;2.85;60.1353056555
415.0;1.15;2.95;60.1282927867
416.0;1.15;3.05;60.1129028943
417.0;1.15;3.15;60.1404452941
418.0;1.15;3.25;60.1752092597
419.0;1.15;3.35;60.0879109898
420.0;1.15;3.45;60.0231427545
421.0;1.25;0.05;60.1413833014
422.0;1.25;0.15;60.1347473742
423.0;1.25;0.25;60.1255642613
424.0;1.25;0.35;60.1286641713
425.0;1.25;0.45;60.1311372252
426.0;1.25;0.55;60.1298736001
427.0;1.25;0.65;60.1292624317
428.0;1.25;0.75;60.129760158
429.0;1.25;0.85;60.1298671675
430.0;1.25;0.95;60.1297149497
431.0;1.25;1.05;60.1296970091
432.0;1.25;1.15;60.1297555099
433.0;1.25;1.25;60.1297475879
434.0;1.25;1.35;60.129738871
435.0;1.25;1.45;60.1297404241
436.0;1.25;1.55;60.1297470639
437.0;1.25;1.65;60.1297428717
438.0;1.25;1.75;60.129753616
439.0;1.25;1.85;60.1297425919
440.0;1.25;1.95;60.1297336929
441.0;1.25;2.05;60.1297717
442.0;1.25;2.15;60.1298096949
443.0;1.25;2.25;60.1296746556
444.0;1.25;2.35;60.1296547762
445.0;1.25;2.45;60.1301380457
446.0;1.25;2.55;60.1299486468
447.0;1.25;2.65;60.128301806
448.0;1.25;2.75;60.1295683889
449.0;1.25;2.85;60.1363064489
450.0;1.25;2.95;60.1285946303
451.0;1.25;3.05;60.1058259209
452.0;1.25;3.15;60.142562714
453.0;1.25;3.25;60.2018107046
454.0;1.25;3.35;60.0642737404
455.0;1.25;3.45;59.9587283179
456.0;1.35;0.05;60.1420835341
457.0;1.35;0.15;60.1354053015
458.0;1.35;0.25;60.1253003661
459.0;1.35;0.35;60.128421503
460.0;1.35;0.45;60.131244311
461.0;1.35;0.55;60.1299281153
462.0;1.35;0.65;60.1292184434
463.0;1.35;0.75;60.129734107
464.0;1.35;0.85;60.1298725349
465.0;1.35;0.95;60.1297066173
466.0;1.35;1.05;60.1296829563
467.0;1.35;1.15;60.1297417067
468.0;1.35;1.25;60.1297361081
469.0;1.35;1.35;60.1297234057
470.0;1.35;1.45;60.1297249168
471.0;1.35;1.55;60.1297301881
472.0;1.35;1.65;60.1297261103
473.0;1.35;1.75;60.1297325274
474.0;1.35;1.85;60.1297206479
475.0;1.35;1.95;60.1297112333
476.0;1.35;2.05;60.1297603784
477.0;1.35;2.15;60.1298086702
478.0;1.35;2.25;60.1296397392
479.0;1.35;2.35;60.1295573532
480.0;1.35;2.45;60.1300543526
481.0;1.35;2.55;60.1300753203
482.0;1.35;2.65;60.1291336109
483.0;1.35;2.75;60.1298486323
484.0;1.35;2.85;60.1324303132
485.0;1.35;2.95;60.1256794399
486.0;1.35;3.05;60.1157706907
487.0;1.35;3.15;60.1613714736
488.0;1.35;3.25;60.2061116886
489.0;1.35;3.35;59.9996066096
490.0;1.35;3.45;59.89119636
491.0;1.45;0.05;60.1435279657
492.0;1.45;0.15;60.1358529486
493.0;1.45;0.25;60.1246044915
494.0;1.45;0.35;60.1284427509
495.0;1.45;0.45;60.1314626911
496.0;1.45;0.55;60.1299076078
497.0;1.45;0.65;60.1291518715
498.0;1.45;0.75;60.1297551823
499.0;1.45;0.85;60.1298883876
500.0;1.45;0.95;60.1297025446
501.0;1.45;1.05;60.1296769592
502.0;1.45;1.15;60.1297446612
503.0;1.45;1.25;60.1297351345
504.0;1.45;1.35;60.129722635
505.0;1.45;1.45;60.1297224397
506.0;1.45;1.55;60.1297306985
507.0;1.45;1.65;60.1297226429
508.0;1.45;1.75;60.1297287792
509.0;1.45;1.85;60.1297172547
510.0;1.45;1.95;60.1297153057
511.0;1.45;2.05;60.1297485188
512.0;1.45;2.15;60.1298071209
513.0;1.45;2.25;60.1296206258
514.0;1.45;2.35;60.1294965559
515.0;1.45;2.45;60.1301680473
516.0;1.45;2.55;60.1300347166
517.0;1.45;2.65;60.1291406883
518.0;1.45;2.75;60.1301777987
519.0;1.45;2.85;60.1293818086
520.0;1.45;2.95;60.1259404275
521.0;1.45;3.05;60.1313564641
522.0;1.45;3.15;60.1452778601
523.0;1.45;3.25;60.1703222773
524.0;1.45;3.35;60.0518350003
525.0;1.45;3.45;60.2108148891
526.0;1.55;0.05;60.1441373689
527.0;1.55;0.15;60.1366798675
528.0;1.55;0.25;60.1244679139
529.0;1.55;0.35;60.1280809147
530.0;1.55;0.45;60.1315531719
531.0;1.55;0.55;60.130014282
532.0;1.55;0.65;60.1291249777
533.0;1.55;0.75;60.1297255234
534.0;1.55;0.85;60.1299084137
535.0;1.55;0.95;60.1297126979
536.0;1.55;1.05;60.1296793141
537.0;1.55;1.15;60.1297476234
538.0;1.55;1.25;60.1297440309
539.0;1.55;1.35;60.1297300063
540.0;1.55;1.45;60.1297328762
541.0;1.55;1.55;60.1297409563
542.0;1.55;1.65;60.1297352134
543.0;1.55;1.75;60.1297385898
544.0;1.55;1.85;60.1297449142
545.0;1.55;1.95;60.1297735182
546.0;1.55;2.05;60.1297712071
547.0;1.55;2.15;60.1297165911
548.0;1.55;2.25;60.1296199887
549.0;1.55;2.35;60.1297578092
550.0;1.55;2.45;60.1308388689
551.0;1.55;2.55;60.1305910194
552.0;1.55;2.65;60.1263534692
553.0;1.55;2.75;60.1262283545
554.0;1.55;2.85;60.1361397856
555.0;1.55;2.95;60.1451605817
556.0;1.55;3.05;60.1497748847
557.0;1.55;3.15;60.0931036237
558.0;1.55;3.25;60.0512705756
559.0;1.55;3.35;60.3897470709
560.0;1.55;3.45;61.6911190421
561.0;1.65;0.05;60.1459337822
562.0;1.65;0.15;60.1370808526
563.0;1.65;0.25;60.1235650063
564.0;1.65;0.35;60.1281980908
565.0;1.65;0.45;60.1318224635
566.0;1.65;0.55;60.1299542343
567.0;1.65;0.65;60.1290424102
568.0;1.65;0.75;60.1297621665
569.0;1.65;0.85;60.1299273449
570.0;1.65;0.95;60.129705303
571.0;1.65;1.05;60.1296737399
572.0;1.65;1.15;60.1297532194
573.0;1.65;1.25;60.1297438454
574.0;1.65;1.35;60.1297301981
575.0;1.65;1.45;60.1297293997
576.0;1.65;1.55;60.129739678
577.0;1.65;1.65;60.129728514
578.0;1.65;1.75;60.1297404901
579.0;1.65;1.85;60.1297282575
580.0;1.65;1.95;60.1297696098
581.0;1.65;2.05;60.1297262791
582.0;1.65;2.15;60.1296325718
583.0;1.65;2.25;60.1298433488
584.0;1.65;2.35;60.1299066294
585.0;1.65;2.45;60.1300500587
586.0;1.65;2.55;60.1302787513
587.0;1.65;2.65;60.1262430405
588.0;1.65;2.75;60.1268734636
589.0;1.65;2.85;60.1469589588
590.0;1.65;2.95;60.1308574833
591.0;1.65;3.05;60.1122888419
592.0;1.65;3.15;60.1289515983
593.0;1.65;3.25;60.3433378024
594.0;1.65;3.35;61.6545020078
595.0;1.65;3.45;64.6517964129
596.0;1.75;0.05;60.1464616786
597.0;1.75;0.15;60.1380344893
598.0;1.75;0.25;60.1234982822
599.0;1.75;0.35;60.1277203407
600.0;1.75;0.45;60.1318964581
601.0;1.75;0.55;60.1300921341
602.0;1.75;0.65;60.1290142137
603.0;1.75;0.75;60.129718098
604.0;1.75;0.85;60.1299478702
605.0;1.75;0.95;60.1297190414
606.0;1.75;1.05;60.1296774101
607.0;1.75;1.15;60.1297586076
608.0;1.75;1.25;60.1297569043
609.0;1.75;1.35;60.1297388511
610.0;1.75;1.45;60.1297376957
611.0;1.75;1.55;60.1297453942
612.0;1.75;1.65;60.1297428896
613.0;1.75;1.75;60.1297768025
614.0;1.75;1.85;60.1297575543
615.0;1.75;1.95;60.1296856047
616.0;1.75;2.05;60.129661502
617.0;1.75;2.15;60.129762654
618.0;1.75;2.25;60.1304710873
619.0;1.75;2.35;60.1309017051
620.0;1.75;2.45;60.1274604791
621.0;1.75;2.55;60.1246720339
622.0;1.75;2.65;60.1331958704
623.0;1.75;2.75;60.1455198734
624.0;1.75;2.85;60.1593718686
625.0;1.75;2.95;60.1027001897
626.0;1.75;3.05;60.0166600666
627.0;1.75;3.15;60.3891833351
628.0;1.75;3.25;61.7610085569
629.0;1.75;3.35;64.6121100555
630.0;1.75;3.45;69.1853492545
631.0;1.85;0.05;60.1486671839
632.0;1.85;0.15;60.138518693
633.0;1.85;0.25;60.1224225225
634.0;1.85;0.35;60.12786722
635.0;1.85;0.45;60.1322095637
636.0;1.85;0.55;60.1300149304
637.0;1.85;0.65;60.1289136024
638.0;1.85;0.75;60.129756677
639.0;1.85;0.85;60.1299627147
640.0;1.85;0.95;60.1297010308
641.0;1.85;1.05;60.1296600353
642.0;1.85;1.15;60.1297530779
643.0;1.85;1.25;60.1297440827
644.0;1.85;1.35;60.1297252291
645.0;1.85;1.45;60.1297245182
646.0;1.85;1.55;60.1297498826
647.0;1.85;1.65;60.1297287693
648.0;1.85;1.75;60.1297555893
649.0;1.85;1.85;60.1297144867
650.0;1.85;1.95;60.129655782
651.0;1.85;2.05;60.1298877843
652.0;1.85;2.15;60.1300715435
653.0;1.85;2.25;60.1295908435
654.0;1.85;2.35;60.1298063878
655.0;1.85;2.45;60.1278907364
656.0;1.85;2.55;60.1274217178
657.0;1.85;2.65;60.1467445705
658.0;1.85;2.75;60.1329748202
659.0;1.85;2.85;60.0971586077
660.0;1.85;2.95;60.1317312665
661.0;1.85;3.05;60.3683679788
662.0;1.85;3.15;61.6481105796
663.0;1.85;3.25;64.6358968341
664.0;1.85;3.35;69.1991793677
665.0;1.85;3.45;75.2972607389
666.0;1.95;0.05;60.1491989215
667.0;1.95;0.15;60.1395321
668.0;1.95;0.25;60.1223612844
669.0;1.95;0.35;60.1273657871
670.0;1.95;0.45;60.1323083052
671.0;1.95;0.55;60.1301631709
672.0;1.95;0.65;60.12887677
673.0;1.95;0.75;60.1297030398
674.0;1.95;0.85;60.1299738605
675.0;1.95;0.95;60.1296992555
676.0;1.95;1.05;60.1296450209
677.0;1.95;1.15;60.1297362377
678.0;1.95;1.25;60.1297314261
