Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
546;1.550;2.050;-3.160
547;1.550;2.150;-3.160
548;1.550;2.250;-3.160
549;1.550;2.350;-3.160
550;1.550;2.450;-3.160
551;1.550;2.550;-3.160
552;1.550;2.650;-3.160
553;1.550;2.750;-3.160
554;1.550;2.850;-3.160
555;1.550;2.950;-3.160
556;1.550;3.050;-3.160
557;1.550;3.150;-3.160
558;1.550;3.250;-3.160
559;1.550;3.350;-3.160
560;1.550;3.450;-3.160
561;1.650;0.050;-3.160
562;1.650;0.150;-3.160
563;1.650;0.250;-3.160
564;1.650;0.350;-3.160
565;1.650;0.450;-3.160
566;1.650;0.550;-3.160
567;1.650;0.650;-3.160
568;1.650;0.750;-3.160
569;1.650;0.850;-3.160
570;1.650;0.950;-3.160
571;1.650;1.050;-3.160
572;1.650;1.150;-3.160
573;1.650;1.250;-3.160
574;1.650;1.350;-3.160
575;1.650;1.450;-3.160
576;1.650;1.550;-3.160
577;1.650;1.650;-3.160
578;1.650;1.750;-3.160
579;1.650;1.850;-3.160
580;1.650;1.950;-3.160
581;1.650;2.050;-3.160
582;1.650;2.150;-3.160
583;1.650;2.250;-3.160
584;1.650;2.350;-3.160
585;1.650;2.450;-3.160
586;1.650;2.550;-3.160
587;1.650;2.650;-3.160
588;1.650;2.750;-3.160
589;1.650;2.850;-3.160
590;1.650;2.950;-3.160
591;1.650;3.050;-3.160
592;1.650;3.150;-3.160
593;1.650;3.250;-3.160
594;1.650;3.350;-3.160
595;1.650;3.450;-3.160
596;1.750;0.050;-3.160
597;1.750;0.150;-3.160
598;1.750;0.250;-3.160
599;1.750;0.350;-3.160
600;1.750;0.450;-3.160
601;1.750;0.550;-3.160
602;1.750;0.650;-3.160
603;1.750;0.750;-3.160
604;1.750;0.850;-3.160
605;1.750;0.950;-3.160
606;1.750;1.050;-3.160
607;1.750;1.150;-3.160
608;1.750;1.250;-3.160
609;1.750;1.350;-3.160
610;1.750;1.450;-3.160
611;1.750;1.550;-3.160
612;1.750;1.650;-3.160
613;1.750;1.750;-3.160
614;1.750;1.850;-3.160
615;1.750;1.950;-3.160
616;1.750;2.050;-3.160
617;1.750;2.150;-3.160
618;1.750;2.250;-3.160
619;1.750;2.350;-3.160
620;1.750;2.450;-3.160
621;1.750;2.550;-3.160
622;1.750;2.650;-3.160
623;1.750;2.750;-3.160
624;1.750;2.850;-3.160
625;1.750;2.950;-3.160
626;1.750;3.050;-3.160
627;1.750;3.150;-3.160
628;1.750;3.250;-3.160
629;1.750;3.350;-3.160
630;1.750;3.450;-3.160
631;1.850;0.050;-3.160
632;1.850;0.150;-3.160
633;1.850;0.250;-3.160
634;1.850;0.350;-3.160
635;1.850;0.450;-3.160
636;1.850;0.550;-3.160
637;1.850;0.650;-3.160
638;1.850;0.750;-3.160
639;1.850;0.850;-3.160
640;1.850;0.950;-3.160
641;1.850;1.050;-3.160
642;1.850;1.150;-3.160
643;1.850;1.250;-3.160
644;1.850;1.350;-3.160
645;1.850;1.450;-3.160
646;1.850;1.550;-3.160
647;1.850;1.650;-3.160
648;1.850;1.750;-3.160
649;1.850;1.850;-3.160
650;1.850;1.950;-3.160
651;1.850;2.050;-3.160
652;1.850;2.150;-3.160
653;1.850;2.250;-3.160
654;1.850;2.350;-3.160
655;1.850;2.450;-3.160
656;1.850;2.550;-3.160
657;1.850;2.650;-3.160
658;1.850;2.750;-3.160
659;1.850;2.850;-3.160
660;1.850;2.950;-3.160
661;1.850;3.050;-3.160
662;1.850;3.150;-3.160
663;1.850;3.250;-3.160
664;1.850;3.350;-3.160
665;1.850;3.450;-3.160
666;1.950;0.050;-3.160
667;1.950;0.150;-3.160
668;1.950;0.250;-3.160
669;1.950;0.350;-3.160
670;1.950;0.450;-3.160
671;1.950;0.550;-3.160
672;1.950;0.650;-3.160
673;1.950;0.750;-3.160
674;1.950;0.850;-3.160
675;1.950;0.950;-3.160
676;1.950;1.050;-3.160
677;1.950;1.150;-3.160
678;1.950;1.250;-3.160
679;1.950;1.350;-3.160
680;1.950;1.450;-3.160
681;1.950;1.550;-3.160
682;1.950;1.650;-3.160
683;1.950;1.750;-3.160
684;1.950;1.850;-3.160
685;1.950;1.950;-3.160
686;1.950;2.050;-3.160
687;1.950;2.150;-3.160
688;1.950;2.250;-3.160
689;1.950;2.350;-3.160
690;1.950;2.450;-3.160
691;1.950;2.550;-3.160
692;1.950;2.650;-3.160
693;1.950;2.750;-3.160
694;1.950;2.850;-3.160
695;1.950;2.950;-3.160
696;1.950;3.050;-3.160
697;1.950;3.150;-3.160
698;1.950;3.250;-3.160
699;1.950;3.350;-3.160
700;1.950;3.450;-3.160
701;2.050;0.050;-3.160
702;2.050;0.150;-3.160
703;2.050;0.250;-3.160
704;2.050;0.350;-3.160
705;2.050;0.450;-3.160
706;2.050;0.550;-3.160
707;2.050;0.650;-3.160
708;2.050;0.750;-3.160
709;2.050;0.850;-3.160
710;2.050;0.950;-3.160
711;2.050;1.050;-3.160
712;2.050;1.150;-3.160
713;2.050;1.250;-3.160
714;2.050;1.350;-3.160
715;2.050;1.450;-3.160
716;2.050;1.550;-3.160
717;2.050;1.650;-3.160
718;2.050;1.750;-3.160
719;2.050;1.850;-3.160
720;2.050;1.950;-3.160
721;2.050;2.050;-3.160
722;2.050;2.150;-3.160
723;2.050;2.250;-3.160
724;2.050;2.350;-3.160
725;2.050;2.450;-3.160
726;2.050;2.550;-3.160
727;2.050;2.650;-3.160
728;2.050;2.750;-3.160
729;2.050;2.850;-3.160
730;2.050;2.950;-3.160
731;2.050;3.050;-3.160
732;2.050;3.150;-3.160
733;2.050;3.250;-3.160
734;2.050;3.350;-3.160
735;2.050;3.450;-3.160
736;2.150;0.050;-3.160
737;2.150;0.150;-3.160
738;2.150;0.250;-3.160
739;2.150;0.350;-3.160
740;2.150;0.450;-3.160
741;2.150;0.550;-3.160
742;2.150;0.650;-3.160
743;2.150;0.750;-3.160
744;2.150;0.850;-3.160
745;2.150;0.950;-3.160
746;2.150;1.050;-3.160
747;2.150;1.150;-3.160
748;2.150;1.250;-3.160
749;2.150;1.350;-3.160
750;2.150;1.450;-3.160
751;2.150;1.550;-3.160
752;2.150;1.650;-3.160
753;2.150;1.750;-3.160
754;2.150;1.850;-3.160
755;2.150;1.950;-3.160
756;2.150;2.050;-3.160
757;2.150;2.150;-3.160
758;2.150;2.250;-3.160
759;2.150;2.350;-3.160
760;2.150;2.450;-3.160
761;2.150;2.550;-3.160
762;2.150;2.650;-3.160
763;2.150;2.750;-3.160
764;2.150;2.850;-3.160
765;2.150;2.950;-3.160
766;2.150;3.050;-3.160
767;2.150;3.150;-3.160
768;2.150;3.250;-3.160
769;2.150;3.350;-3.160
770;2.150;3.450;-3.160
771;2.250;0.050;-3.160
772;2.250;0.150;-3.160
773;2.250;0.250;-3.160
774;2.250;0.350;-3.160
775;2.250;0.450;-3.160
776;2.250;0.550;-3.160
777;2.250;0.650;-3.160
778;2.250;0.750;-3.160
779;2.250;0.850;-3.160
780;2.250;0.950;-3.160
781;2.250;1.050;-3.160
782;2.250;1.150;-3.160
783;2.250;1.250;-3.160
784;2.250;1.350;-3.160
785;2.250;1.450;-3.160
786;2.250;1.550;-3.160
787;2.250;1.650;-3.160
788;2.250;1.750;-3.160
789;2.250;1.850;-3.160
790;2.250;1.950;-3.160
791;2.250;2.050;-3.160
792;2.250;2.150;-3.160
793;2.250;2.250;-3.160
794;2.250;2.350;-3.160
795;2.250;2.450;-3.160
796;2.250;2.550;-3.160
797;2.250;2.650;-3.160
798;2.250;2.750;-3.160
799;2.250;2.850;-3.160
800;2.250;2.950;-3.160
801;2.250;3.050;-3.160
802;2.250;3.150;-3.160
803;2.250;3.250;-3.160
804;2.250;3.350;-3.160
805;2.250;3.450;-3.160
806;2.350;0.050;-3.160
807;2.350;0.150;-3.160
808;2.350;0.250;-3.160
809;2.350;0.350;-3.160
810;2.350;0.450;-3.160
811;2.350;0.550;-3.160
812;2.350;0.650;-3.160
813;2.350;0.750;-3.160
814;2.350;0.850;-3.160
815;2.350;0.950;-3.160
816;2.350;1.050;-3.160
817;2.350;1.150;-3.160
818;2.350;1.250;-3.160
819;2.350;1.350;-3.160
820;2.350;1.450;-3.160
821;2.350;1.550;-3.160
822;2.350;1.650;-3.160
823;2.350;1.750;-3.160
824;2.350;1.850;-3.160
825;2.350;1.950;-3.160
826;2.350;2.050;-3.160
827;2.350;2.150;-3.160
828;2.350;2.250;-3.160
829;2.350;2.350;-3.160
830;2.350;2.450;-3.160
831;2.350;2.550;-3.160
832;2.350;2.650;-3.160
833;2.350;2.750;-3.160
834;2.350;2.850;-3.160
835;2.350;2.950;-3.160
836;2.350;3.050;-3.160
837;2.350;3.150;-3.160
838;2.350;3.250;-3.160
839;2.350;3.350;-3.160
840;2.350;3.450;-3.160
841;2.450;0.050;-3.160
842;2.450;0.150;-3.160
843;2.450;0.250;-3.160
844;2.450;0.350;-3.160
845;2.450;0.450;-3.160
846;2.450;0.550;-3.160
847;2.450;0.650;-3.160
848;2.450;0.750;-3.160
849;2.450;0.850;-3.160
850;2.450;0.950;-3.160
851;2.450;1.050;-3.160
852;2.450;1.150;-3.160
853;2.450;1.250;-3.160
854;2.450;1.350;-3.160
855;2.450;1.450;-3.160
856;2.450;1.550;-3.160
857;2.450;1.650;-3.160
858;2.450;1.750;-3.160
859;2.450;1.850;-3.160
860;2.450;1.950;-3.160
861;2.450;2.050;-3.160
862;2.450;2.150;-3.160
863;2.450;2.250;-3.160
864;2.450;2.350;-3.160
865;2.450;2.450;-3.160
866;2.450;2.550;-3.160
867;2.450;2.650;-3.160
868;2.450;2.750;-3.160
869;2.450;2.850;-3.160
870;2.450;2.950;-3.160
871;2.450;3.050;-3.160
872;2.450;3.150;-3.160
873;2.450;3.250;-3.160
874;2.450;3.350;-3.160
875;2.450;3.450;-3.160
876;2.550;0.050;-3.160
877;2.550;0.150;-3.160
878;2.550;0.250;-3.160
879;2.550;0.350;-3.160
880;2.550;0.450;-3.160
881;2.550;0.550;-3.160
882;2.550;0.650;-3.160
883;2.550;0.750;-3.160
884;2.550;0.850;-3.160
885;2.550;0.950;-3.160
886;2.550;1.050;-3.160
887;2.550;1.150;-3.160
888;2.550;1.250;-3.160
889;2.550;1.350;-3.160
890;2.550;1.450;-3.160
891;2.550;1.550;-3.160
892;2.550;1.650;-3.160
893;2.550;1.750;-3.160
894;2.550;1.850;-3.160
895;2.550;1.950;-3.160
896;2.550;2.050;-3.160
897;2.550;2.150;-3.160
898;2.550;2.250;-3.160
899;2.550;2.350;-3.160
900;2.550;2.450;-3.160
901;2.550;2.550;-3.160
902;2.550;2.650;-3.160
903;2.550;2.750;-3.160
904;2.550;2.850;-3.160
905;2.550;2.950;-3.160
906;2.550;3.050;-3.160
907;2.550;3.150;-3.160
908;2.550;3.250;-3.160
909;2.550;3.350;-3.160
910;2.550;3.450;-3.160
911;2.650;0.050;-3.160
912;2.650;0.150;-3.160
913;2.650;0.250;-3.160
914;2.650;0.350;-3.160
915;2.650;0.450;-3.160
916;2.650;0.550;-3.160
917;2.650;0.650;-3.160
918;2.650;0.750;-3.160
919;2.650;0.850;-3.160
920;2.650;0.950;-3.160
921;2.650;1.050;-3.160
922;2.650;1.150;-3.160
923;2.650;1.250;-3.160
924;2.650;1.350;-3.160
925;2.650;1.450;-3.160
