node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-3.15
2.0;0.0;-0.1;-3.14705753046
3.0;0.0;-0.2;-3.14840244917
4.0;0.0;-0.3;-3.15365332544
5.0;0.0;-0.4;-3.16254224102
6.0;0.0;-0.5;-3.17472847704
7.0;0.0;-0.6;-3.18928752799
8.0;0.0;-0.7;-3.20471814258
9.0;0.0;-0.8;-3.22005642392
10.0;0.0;-0.9;-3.23565538691
11.0;0.0;-1.0;-3.25239925839
12.0;0.0;-1.1;-3.27056511764
13.0;0.0;-1.2;-3.28982058268
14.0;0.0;-1.3;-3.31005146606
15.0;0.0;-1.4;-3.33166518222
16.0;0.0;-1.5;-3.35503559624
17.0;0.0;-1.6;-3.38008547947
18.0;0.0;-1.7;-3.40638631489
19.0;0.0;-1.8;-3.43335768075
20.0;0.0;-1.9;-3.46046129396
21.0;0.0;-2.0;-3.48742658696
22.0;0.1;0.0;-3.14705753046
23.0;0.1;-0.1;-3.14797176696
24.0;0.1;-0.2;-3.15281060612
25.0;0.1;-0.3;-3.161135302
26.0;0.1;-0.4;-3.17230310564
27.0;0.1;-0.5;-3.18547269828
28.0;0.1;-0.6;-3.19985413722
29.0;0.1;-0.7;-3.21489015863
30.0;0.1;-0.8;-3.2303757689
31.0;0.1;-0.9;-3.24651219591
32.0;0.1;-1.0;-3.26368550035
33.0;0.1;-1.1;-3.28213565881
34.0;0.1;-1.2;-3.30189640095
35.0;0.1;-1.3;-3.32302115496
36.0;0.1;-1.4;-3.34568450331
37.0;0.1;-1.5;-3.36992790625
38.0;0.1;-1.6;-3.39541674385
39.0;0.1;-1.7;-3.42159297578
40.0;0.1;-1.8;-3.44799188087
41.0;0.1;-1.9;-3.47436663399
42.0;0.1;-2.0;-3.50064676299
43.0;0.2;0.0;-3.14840244917
44.0;0.2;-0.1;-3.15281060612
45.0;0.2;-0.2;-3.16069000657
46.0;0.2;-0.3;-3.17145744201
47.0;0.2;-0.4;-3.18418507483
48.0;0.2;-0.5;-3.19771389245
49.0;0.2;-0.6;-3.2115154042
50.0;0.2;-0.7;-3.22600794228
51.0;0.2;-0.8;-3.24167563606
52.0;0.2;-0.9;-3.25845131134
53.0;0.2;-1.0;-3.27614941079
54.0;0.2;-1.1;-3.29497990465
55.0;0.2;-1.2;-3.31536450467
56.0;0.2;-1.3;-3.33746539648
57.0;0.2;-1.4;-3.36111134416
58.0;0.2;-1.5;-3.385980405
59.0;0.2;-1.6;-3.41156199068
60.0;0.2;-1.7;-3.43728661349
61.0;0.2;-1.8;-3.46288381134
62.0;0.2;-1.9;-3.48841524438
63.0;0.2;-2.0;-3.51397464839
64.0;0.3;0.0;-3.15365332544
65.0;0.3;-0.1;-3.16113530201
66.0;0.3;-0.2;-3.17145744201
67.0;0.3;-0.3;-3.18356160742
68.0;0.3;-0.4;-3.19659969086
69.0;0.3;-0.5;-3.20998893401
70.0;0.3;-0.6;-3.22369508933
71.0;0.3;-0.7;-3.23826466007
72.0;0.3;-0.8;-3.25416683101
73.0;0.3;-0.9;-3.27135901043
74.0;0.3;-1.0;-3.28967227679
75.0;0.3;-1.1;-3.30929048777
76.0;0.3;-1.2;-3.33057911889
77.0;0.3;-1.3;-3.353552714
78.0;0.3;-1.4;-3.37776910066
79.0;0.3;-1.5;-3.4026838995
80.0;0.3;-1.6;-3.42782644763
81.0;0.3;-1.7;-3.45285275608
82.0;0.3;-1.8;-3.47768369266
83.0;0.3;-1.9;-3.50246704388
84.0;0.3;-2.0;-3.52732070307
85.0;0.4;0.0;-3.16254224102
86.0;0.4;-0.1;-3.17230310564
87.0;0.4;-0.2;-3.18418507483
88.0;0.4;-0.3;-3.19659969086
89.0;0.4;-0.4;-3.2090920164
90.0;0.4;-0.5;-3.22219600443
91.0;0.4;-0.6;-3.23638668642
92.0;0.4;-0.7;-3.25164813604
93.0;0.4;-0.8;-3.26793225535
94.0;0.4;-0.9;-3.28546090765
95.0;0.4;-1.0;-3.30451337368
96.0;0.4;-1.1;-3.32520396748
97.0;0.4;-1.2;-3.34746460415
98.0;0.4;-1.3;-3.37099482707
99.0;0.4;-1.4;-3.3952308526
100.0;0.4;-1.5;-3.4196164077
101.0;0.4;-1.6;-3.44391536774
102.0;0.4;-1.7;-3.46813353137
103.0;0.4;-1.8;-3.49231013081
104.0;0.4;-1.9;-3.51647426127
105.0;0.4;-2.0;-3.54065848172
106.0;0.5;0.0;-3.17472847704
107.0;0.5;-0.1;-3.18547269828
108.0;0.5;-0.2;-3.19771389245
109.0;0.5;-0.3;-3.209988934
110.0;0.5;-0.4;-3.22219600443
111.0;0.5;-0.5;-3.23533138073
112.0;0.5;-0.6;-3.25002505111
113.0;0.5;-0.7;-3.2659786508
114.0;0.5;-0.8;-3.28289432263
115.0;0.5;-0.9;-3.30110375533
116.0;0.5;-1.0;-3.32105746939
117.0;0.5;-1.1;-3.34270313908
118.0;0.5;-1.2;-3.36556940625
119.0;0.5;-1.3;-3.389126168
120.0;0.5;-1.4;-3.41288182518
121.0;0.5;-1.5;-3.43648032685
122.0;0.5;-1.6;-3.45991215629
123.0;0.5;-1.7;-3.48336238226
124.0;0.5;-1.8;-3.50689846944
125.0;0.5;-1.9;-3.53045161899
126.0;0.5;-2.0;-3.55398146555
127.0;0.6;0.0;-3.18928752799
128.0;0.6;-0.1;-3.19985413722
129.0;0.6;-0.2;-3.2115154042
130.0;0.6;-0.3;-3.22369508933
131.0;0.6;-0.4;-3.23638668642
132.0;0.6;-0.5;-3.25002505111
133.0;0.6;-0.6;-3.26500427438
134.0;0.6;-0.7;-3.2813936444
135.0;0.6;-0.8;-3.29915778932
136.0;0.6;-0.9;-3.31842213206
137.0;0.6;-1.0;-3.33929504111
138.0;0.6;-1.1;-3.36148801002
139.0;0.6;-1.2;-3.38436796402
140.0;0.6;-1.3;-3.40739509264
141.0;0.6;-1.4;-3.43034105075
142.0;0.6;-1.5;-3.4531679881
143.0;0.6;-1.6;-3.47592987622
144.0;0.6;-1.7;-3.49871921323
145.0;0.6;-1.8;-3.52157131024
146.0;0.6;-1.9;-3.54444527992
147.0;0.6;-2.0;-3.56730223627
148.0;0.7;0.0;-3.20471814258
149.0;0.7;-0.1;-3.21489015863
150.0;0.7;-0.2;-3.22600794228
151.0;0.7;-0.3;-3.23826466007
152.0;0.7;-0.4;-3.25164813604
153.0;0.7;-0.5;-3.2659786508
154.0;0.7;-0.6;-3.2813936444
155.0;0.7;-0.7;-3.29833886233
156.0;0.7;-0.8;-3.3170331126
157.0;0.7;-0.9;-3.33729101526
158.0;0.7;-1.0;-3.35875838498
159.0;0.7;-1.1;-3.38096743778
160.0;0.7;-1.2;-3.40336032738
161.0;0.7;-1.3;-3.42557931874
162.0;0.7;-1.4;-3.44766631495
163.0;0.7;-1.5;-3.46979031976
164.0;0.7;-1.6;-3.49196855581
165.0;0.7;-1.7;-3.51414266624
166.0;0.7;-1.8;-3.53630268526
167.0;0.7;-1.9;-3.55846583818
168.0;0.7;-2.0;-3.58063058726
169.0;0.8;0.0;-3.22005642392
170.0;0.8;-0.1;-3.2303757689
171.0;0.8;-0.2;-3.24167563606
172.0;0.8;-0.3;-3.25416683101
173.0;0.8;-0.4;-3.26793225535
174.0;0.8;-0.5;-3.28289432263
175.0;0.8;-0.6;-3.29915778932
176.0;0.8;-0.7;-3.3170331126
177.0;0.8;-0.8;-3.33659009476
178.0;0.8;-0.9;-3.35741348544
179.0;0.8;-1.0;-3.37889779521
180.0;0.8;-1.1;-3.40058248325
181.0;0.8;-1.2;-3.42219694571
182.0;0.8;-1.3;-3.4436475077
183.0;0.8;-1.4;-3.46503228313
184.0;0.8;-1.5;-3.48648676815
185.0;0.8;-1.6;-3.5080118939
186.0;0.8;-1.7;-3.52952972351
187.0;0.8;-1.8;-3.55101184735
188.0;0.8;-1.9;-3.57248248186
189.0;0.8;-2.0;-3.59395891056
190.0;0.9;0.0;-3.23565538691
191.0;0.9;-0.1;-3.24651219591
192.0;0.9;-0.2;-3.25845131134
193.0;0.9;-0.3;-3.27135901043
194.0;0.9;-0.4;-3.28546090765
195.0;0.9;-0.5;-3.30110375533
196.0;0.9;-0.6;-3.31842213206
197.0;0.9;-0.7;-3.33729101526
198.0;0.9;-0.8;-3.35741348544
199.0;0.9;-0.9;-3.37826406258
200.0;0.9;-1.0;-3.39925509237
201.0;0.9;-1.1;-3.42010792134
202.0;0.9;-1.2;-3.44087703662
203.0;0.9;-1.3;-3.4616575794
204.0;0.9;-1.4;-3.48245125339
205.0;0.9;-1.5;-3.50325052403
206.0;0.9;-1.6;-3.52406270188
207.0;0.9;-1.7;-3.54487820613
208.0;0.9;-1.8;-3.56568293725
209.0;0.9;-1.9;-3.58648002304
210.0;0.9;-2.0;-3.60727980851
211.0;1.0;0.0;-3.25239925839
212.0;1.0;-0.1;-3.26368550035
213.0;1.0;-0.2;-3.27614941079
214.0;1.0;-0.3;-3.28967227679
215.0;1.0;-0.4;-3.30451337368
216.0;1.0;-0.5;-3.32105746939
217.0;1.0;-0.6;-3.33929504111
218.0;1.0;-0.7;-3.35875838498
219.0;1.0;-0.8;-3.37889779521
220.0;1.0;-0.9;-3.39925509237
221.0;1.0;-1.0;-3.41949640371
222.0;1.0;-1.1;-3.43955057243
223.0;1.0;-1.2;-3.45957844865
224.0;1.0;-1.3;-3.47969998467
225.0;1.0;-1.4;-3.49986606161
226.0;1.0;-1.5;-3.52000341229
227.0;1.0;-1.6;-3.54011457482
228.0;1.0;-1.7;-3.56022864546
229.0;1.0;-1.8;-3.58035092355
230.0;1.0;-1.9;-3.60047447752
231.0;1.0;-2.0;-3.62059855149
232.0;1.1;0.0;-3.27056511764
233.0;1.1;-0.1;-3.28213565881
234.0;1.1;-0.2;-3.29497990465
235.0;1.1;-0.3;-3.30929048777
236.0;1.1;-0.4;-3.32520396748
237.0;1.1;-0.5;-3.34270313909
238.0;1.1;-0.6;-3.36148801002
239.0;1.1;-0.7;-3.38096743778
240.0;1.1;-0.8;-3.40058248325
241.0;1.1;-0.9;-3.42010792134
242.0;1.1;-1.0;-3.43955057243
243.0;1.1;-1.1;-3.45895364121
244.0;1.1;-1.2;-3.47835948548
245.0;1.1;-1.3;-3.49780168873
246.0;1.1;-1.4;-3.51726774426
247.0;1.1;-1.5;-3.53672255599
248.0;1.1;-1.6;-3.55615883488
249.0;1.1;-1.7;-3.5755931865
250.0;1.1;-1.8;-3.59503493184
251.0;1.1;-1.9;-3.61447971007
252.0;1.1;-2.0;-3.63392310847
253.0;1.2;0.0;-3.28982058268
254.0;1.2;-0.1;-3.30189640095
255.0;1.2;-0.2;-3.31536450467
256.0;1.2;-0.3;-3.33057911889
257.0;1.2;-0.4;-3.34746460415
258.0;1.2;-0.5;-3.36556940626
259.0;1.2;-0.6;-3.38436796402
260.0;1.2;-0.7;-3.40336032738
261.0;1.2;-0.8;-3.42219694571
262.0;1.2;-0.9;-3.44087703662
263.0;1.2;-1.0;-3.45957844865
264.0;1.2;-1.1;-3.47835948548
265.0;1.2;-1.2;-3.49715110384
266.0;1.2;-1.3;-3.51591510344
267.0;1.2;-1.4;-3.53467181539
268.0;1.2;-1.5;-3.55343485652
269.0;1.2;-1.6;-3.57219882579
270.0;1.2;-1.7;-3.59096106167
271.0;1.2;-1.8;-3.60972481106
272.0;1.2;-1.9;-3.62849000574
273.0;1.2;-2.0;-3.64725356622
274.0;1.3;0.0;-3.31005146606
275.0;1.3;-0.1;-3.32302115496
276.0;1.3;-0.2;-3.33746539648
277.0;1.3;-0.3;-3.353552714
278.0;1.3;-0.4;-3.37099482707
279.0;1.3;-0.5;-3.389126168
280.0;1.3;-0.6;-3.40739509264
281.0;1.3;-0.7;-3.42557931874
282.0;1.3;-0.8;-3.4436475077
283.0;1.3;-0.9;-3.4616575794
284.0;1.3;-1.0;-3.47969998468
285.0;1.3;-1.1;-3.49780168873
286.0;1.3;-1.2;-3.51591510344
287.0;1.3;-1.3;-3.53400350972
288.0;1.3;-1.4;-3.55207736887
289.0;1.3;-1.5;-3.57015614885
290.0;1.3;-1.6;-3.58824125798
291.0;1.3;-1.7;-3.60632601537
292.0;1.3;-1.8;-3.6244095974
293.0;1.3;-1.9;-3.64249558113
294.0;1.3;-2.0;-3.66058333158
295.0;1.4;0.0;-3.33166518222
296.0;1.4;-0.1;-3.34568450331
297.0;1.4;-0.2;-3.36111134416
298.0;1.4;-0.3;-3.37776910066
299.0;1.4;-0.4;-3.3952308526
300.0;1.4;-0.5;-3.41288182518
301.0;1.4;-0.6;-3.43034105075
302.0;1.4;-0.7;-3.44766631495
303.0;1.4;-0.8;-3.46503228313
304.0;1.4;-0.9;-3.48245125339
305.0;1.4;-1.0;-3.49986606161
306.0;1.4;-1.1;-3.51726774426
307.0;1.4;-1.2;-3.53467181539
308.0;1.4;-1.3;-3.55207736887
309.0;1.4;-1.4;-3.56947938543
310.0;1.4;-1.5;-3.58688124129
311.0;1.4;-1.6;-3.60428570882
312.0;1.4;-1.7;-3.62169009024
313.0;1.4;-1.8;-3.63909295551
314.0;1.4;-1.9;-3.65649793894
315.0;1.4;-2.0;-3.67390576186
316.0;1.5;0.0;-3.35503559624
317.0;1.5;-0.1;-3.36992790625
318.0;1.5;-0.2;-3.385980405
319.0;1.5;-0.3;-3.4026838995
320.0;1.5;-0.4;-3.4196164077
321.0;1.5;-0.5;-3.43648032685
322.0;1.5;-0.6;-3.4531679881
323.0;1.5;-0.7;-3.46979031976
324.0;1.5;-0.8;-3.48648676815
325.0;1.5;-0.9;-3.50325052403
326.0;1.5;-1.0;-3.52000341229
327.0;1.5;-1.1;-3.53672255599
328.0;1.5;-1.2;-3.55343485652
